"","x"
"1","CTRB1"
"2","CELA3A"
"3","PRSS1"
"4","CTRB2"
"5","PRSS2"
"6","CLPS"
"7","CELA3B"
"8","CPA2"
"9","PLA2G1B"
"10","CTRC"
"11","KLK1"
"12","PNLIPRP1"
"13","REG1A"
"14","CPA1"
"15","SPINK1"
"16","PNLIPRP2"
"17","CELA2A"
"18","SYCN"
"19","CPB1"
"20","RPL10"
"21","PRSS3"
"22","REG1B"
"23","CTRL"
"24","CUZD1"
"25","CD44"
"26","MGST1"
"27","CELA2B"
"28","FOXD2"
"29","REG1P"
"30","UGDH"
"31","IL32"
"32","PNLIP"
"33","GP2"
"34","SERPINA3"
"35","RPS2"
"36","EEF1A1"
"37","ACTG1"
"38","SERPINB1"
"39","EEF1B2"
"40","PLTP"
"41","SLC39A5"
"42","PDIA2"
"43","RPL29"
"44","RPS5"
"45","RPL18A"
"46","RPS12"
"47","AMY2A"
"48","GAS5"
"49","RNASE1"
"50","RPL12"
"51","COL6A2"
"52","COL6A3"
"53","CRLF1"
"54","COL6A1"
"55","BGN"
"56","MMP14"
"57","TIMP1"
"58","COL5A1"
"59","FKBP10"
"60","SFRP2"
"61","PRRX1"
"62","THBS2"
"63","COL1A1"
"64","EMILIN1"
"65","VCAN"
"66","AEBP1"
"67","COL1A2"
"68","SPARC"
"69","LRP1"
"70","COL3A1"
"71","LOXL2"
"72","PDGFRB"
"73","COL15A1"
"74","TGFB3"
"75","GFPT2"
"76","SERPINH1"
"77","MMP2"
"78","FMOD"
"79","LAMC3"
"80","MXRA8"
"81","INHBA"
"82","LUM"
"83","CALD1"
"84","MRC2"
"85","TPM2"
"86","PDGFRA"
"87","SPON2"
"88","LTBP1"
"89","VSTM4"
"90","ADAMTS12"
"91","MFGE8"
"92","SPON1"
"93","CTHRC1"
"94","FBN1"
"95","LTBP2"
"96","SERPINF1"
"97","PCOLCE"
"98","COL5A2"
"99","DDR2"
"100","LGALS1"
"101","TTR"
"102","GCG"
"103","CLU"
"104","TMEM176B"
"105","GC"
"106","GPX3"
"107","TMEM176A"
"108","PCSK2"
"109","IRX2"
"110","CD99"
"111","RNASEK"
"112","SLC7A2"
"113","TM4SF4"
"114","CST3"
"115","SCG5"
"116","CYSTM1"
"117","ALDH1A1"
"118","F10"
"119","FXYD5"
"120","SPINT2"
"121","RGS4"
"122","GLS"
"123","VGF"
"124","FEV"
"125","EMC10"
"126","PCSK1N"
"127","SLC22A17"
"128","SMIM24"
"129","PDK4"
"130","BSG"
"131","IGFBP2"
"132","FXYD3"
"133","ATP5E"
"134","SMOC1"
"135","PALLD"
"136","VSTM2L"
"137","HLA.A"
"138","ARX"
"139","CRYBA2"
"140","CAMK2G"
"141","PLD3"
"142","MUC13"
"143","CHGB"
"144","PAPPA2"
"145","KIAA1324"
"146","CALY"
"147","NENF"
"148","KCTD12"
"149","NUCB1"
"150","CD63"
"151","INS"
"152","HADH"
"153","IAPP"
"154","RPL3"
"155","ERO1B"
"156","UCHL1"
"157","GNAS"
"158","ELMO1"
"159","SCGN"
"160","NKX6.1"
"161","GAD2"
"162","PPP1R1A"
"163","SYT13"
"164","C1QL1"
"165","DLK1"
"166","CPE"
"167","GSN"
"168","MAFA"
"169","HOPX"
"170","PDX1"
"171","ABCC8"
"172","PAPSS2"
"173","B2M"
"174","C1orf127"
"175","SLC6A6"
"176","SLC30A8"
"177","PLCXD3"
"178","EEF1A2"
"179","G6PC2"
"180","VAT1L"
"181","NPTX2"
"182","TSC22D1"
"183","MEG3"
"184","SORL1"
"185","ENDOD1"
"186","CDKN1C"
"187","TSPAN13"
"188","CADM1"
"189","STX1A"
"190","RHOC"
"191","TMOD1"
"192","SYT7"
"193","GSTP1"
"194","IGF2"
"195","SURF4"
"196","PEMT"
"197","SLC2A13"
"198","MAPT"
"199","EIF4A2"
"200","SST"
"201","LEPR"
"202","RBP4"
"203","SEC11C"
"204","LY6H"
"205","BCHE"
"206","CBLN4"
"207","HHEX"
"208","RGS2"
"209","BAIAP3"
"210","DHRS2"
"211","NLRP1"
"212","PCP4"
"213","GABRB3"
"214","PCSK1"
"215","DPYSL3"
"216","ANK1"
"217","PON3"
"218","MIR7.3HG"
"219","ERBB4"
"220","LRFN5"
"221","MAP1B"
"222","MLPH"
"223","ARFGEF3"
"224","GCH1"
"225","IDS"
"226","CALB1"
"227","MEST"
"228","RPL13A"
"229","BEX1"
"230","FHOD3"
"231","MS4A8"
"232","HAP1"
"233","OPRD1"
"234","ASB4"
"235","PSIP1"
"236","TMEM130"
"237","ECEL1"
"238","RPL41"
"239","RPS18"
"240","QDPR"
"241","RPL7A"
"242","RPLP1"
"243","RPS28"
"244","FAM177B"
"245","DIRAS3"
"246","D4S234E"
"247","TACSTD2"
"248","KRT19"
"249","KRT7"
"250","ANXA2"
"251","SERINC2"
"252","PRSS8"
"253","S100A11"
"254","TPM1"
"255","ANXA4"
"256","CDC42EP1"
"257","CD24"
"258","PMEPA1"
"259","CLDN1"
"260","PPAP2C"
"261","LAD1"
"262","KRT18"
"263","S100A14"
"264","S100A10"
"265","SERPING1"
"266","TINAGL1"
"267","KRT8"
"268","TMSB10"
"269","LGALS4"
"270","SOX4"
"271","CFB"
"272","SLC4A4"
"273","SDC4"
"274","LCN2"
"275","ACTN4"
"276","MALL"
"277","BACE2"
"278","SMAD3"
"279","TSPO"
"280","SERPINA5"
"281","ELF3"
"282","C1orf106"
"283","KIAA1522"
"284","CLDN4"
"285","TMSB4X"
"286","JUP"
"287","SPINT1"
"288","C3"
"289","ZFP36L1"
"290","ABCC3"
"291","SAT1"
"292","ANXA3"
"293","AGRN"
"294","CFTR"
"295","PLVAP"
"296","ACVRL1"
"297","ENG"
"298","PODXL"
"299","CD93"
"300","PECAM1"
"301","ESAM"
"302","PCAT19"
"303","RGCC"
"304","FLT1"
"305","TIE1"
"306","SOX18"
"307","KDR"
"308","HSPG2"
"309","ECSCR"
"310","ADGRL4"
"311","TCF4"
"312","VWF"
"313","FKBP1A"
"314","ESM1"
"315","SEMA3F"
"316","S1PR1"
"317","ROBO4"
"318","STC1"
"319","ITGA5"
"320","PPAP2B"
"321","EGFL7"
"322","DYSF"
"323","ERG"
"324","ETS1"
"325","PXDN"
"326","CLIC4"
"327","FAM43A"
"328","ADGRF5"
"329","CLDN5"
"330","HTRA1"
"331","CXCR4"
"332","NOTCH4"
"333","PASK"
"334","TP53I11"
"335","CDH5"
"336","LAMA4"
"337","NRP2"
"338","MCAM"
"339","EMP1"
"340","CYP1A1"
"341","FSCN1"
"342","PTPRB"
"343","INSR"
"344","PNP"
"345","GHRL"
"346","FRZB"
"347","ACSL1"
"348","VTN"
"349","SPTSSB"
"350","NNMT"
"351","APOH"
"352","ASGR1"
"353","FGF14"
"354","ACOT7"
"355","TRNP1"
"356","SEZ6L"
"357","HEPACAM2"
"358","SLC12A5"
"359","HMP19"
"360","PLAC8"
"361","ITGA7"
"362","HOMER1"
"363","MDFIC"
"364","CDO1"
"365","FAXDC2"
"366","TYRO3"
"367","TFF3"
"368","CDHR5"
"369","C2orf54"
"370","SCN3A"
"371","PDE2A"
"372","AK5"
"373","TRIM38"
"374","NPHP4"
"375","CACNB2"
"376","PDE8B"
"377","SAMD5"
"378","ETNK2"
"379","KIAA1147"
"380","CMTM8"
"381","ARHGEF25"
"382","NRD1"
"383","ECE2"
"384","TP53INP1"
"385","ZKSCAN1"
"386","LRRC4B"
"387","PI4K2B"
"388","PPY"
"389","AQP3"
"390","SERTM1"
"391","CARD11"
"392","CHRM3"
"393","STMN2"
"394","KCNG1"
"395","SLC6A4"
"396","ENTPD2"
"397","MEIS2"
"398","PAX6"
"399","PLEKHB1"
"400","CHN2"
"401","ETV1"
"402","SCG2"
"403","ID2"
"404","NPW"
"405","MALAT1"
"406","NBL1"
"407","PTP4A3"
"408","FXYD2"
"409","GCNT3"
"410","GRAMD1B"
"411","ITM2C"
"412","NPDC1"
"413","PLXNB2"
"414","FGB"
"415","C16orf45"
"416","BTG2"
"417","PEG10"
"418","AES"
"419","PXK"
"420","ISL1"
"421","FGFR1"
"422","NEURL1"
"423","NR0B1"
"424","EGR1"
"425","HGD"
"426","ID4"
"427","FURIN"
"428","SEMA3E"
"429","ID1"
"430","CTSB"
"431","HLA.DRA"
"432","ACP5"
"433","LAPTM5"
"434","CTSD"
"435","HLA.DRB1"
"436","LCP1"
"437","CTSS"
"438","CD68"
"439","HLA.DPA1"
"440","CD74"
"441","APOE"
"442","TNFRSF1B"
"443","SLC15A3"
"444","SEMA6B"
"445","HLA.DQB1"
"446","GPNMB"
"447","TBXAS1"
"448","SRGN"
"449","HLA.DPB1"
"450","SLC7A7"
"451","GPX1"
"452","PSAP"
"453","CTSL"
"454","FUCA1"
"455","HLA.DMA"
"456","GM2A"
"457","NINJ1"
"458","SAMHD1"
"459","CYP27A1"
"460","FTH1"
"461","CAPG"
"462","OGFRL1"
"463","LYZ"
"464","ARRB2"
"465","PDPN"
"466","NCF2"
"467","GPSM3"
"468","LIPA"
"469","CD14"
"470","RNASET2"
"471","THEMIS2"
"472","SLC16A3"
"473","CXCL16"
"474","IL1B"
"475","CREG1"
"476","GRN"
"477","UCP2"
"478","ARL4C"
"479","CYB561A3"
"480","GATA2"
"481","LTC4S"
"482","RAC2"
"483","ARHGDIB"
"484","S100A4"
"485","PTGS1"
"486","IL4R"
"487","RGS10"
"488","NSMCE1"
"489","ADAMTS7"
"490","LPCAT2"
"491","AHNAK"
"492","ABCC4"
"493","STK17B"
"494","DUSP6"
"495","ADAM12"
"496","PTPN6"
"497","SLC18A2"
"498","ALOX5"
"499","GLUL"
"500","LCP2"
"501","LAT2"
"502","ATP6V0A2"
"503","NDRG2"
"504","HCLS1"
"505","RIN3"
"506","SLC45A3"
"507","RGS19"
"508","TTYH2"
"509","NDST2"
"510","LMO4"
"511","ZEB2"
"512","KLHL6"
"513","SYTL3"
"514","RHOG"
"515","FOXP1"
"516","ZFP36"
"517","ASIC3"
"518","SEMA4D"
"519","SEMA7A"
"520","MAOB"
"521","CD9"
"522","CELF2"
"523","ADCY7"
"524","ADCY3"
"525","NDUFA4L2"
"526","EDNRA"
"527","C11orf96"
"528","KLF9"
"529","IGFBP4"
"530","IFITM2"
"531","EPAS1"
"532","RGS5"
"533","GJA4"
"534","EDNRB"
"535","CSRP2"
"536","IL24"
"537","OLFML2A"
"538","ADAMTS4"
"539","CRISPLD2"
"540","ADIRF"
"541","IFITM1"
"542","NOTCH3"
"543","WNT5A"
"544","HEYL"
"545","PAG1"
"546","SMIM3"
"547","TBX2"
"548","KCNE4"
"549","ADAMTS1"
"550","CYGB"
"551","IFITM3"
"552","CD248"
"553","APOLD1"
"554","TBX3"
"555","TFPI"
"556","CEBPB"
"557","IL1R1"
"558","NR2F2"
"559","GRK5"
"560","MYL9"
"561","BST2"
"562","PLAC9"
"563","AKR1B1"
"564","CDH11"
"565","RASD2"
"566","RAB31"
"567","ID3"
"568","CHSY1"
"569","CAV1"
"570","CHST2"
"571","ADRA2C"
"572","AXL"
"573","CRYAB"
"574","PMP22"
"575","RCAN1"
"576","DAG1"
"577","ST6GALNAC2"
"578","BTC"
"579","NOV"
"580","ITGB8"
"581","TIMP3"
"582","DKK3"
"583","PDLIM4"
"584","GAP43"
"585","LGALS3"
"586","ATOX1"
"587","PAPPA"
"588","SVIL"
"589","EHBP1"
"590","GPC1"
"591","NES"
"592","L1CAM"
"593","LOXL3"
"594","S100B"
"595","SERPINE2"
"596","SERINC5"
"597","AQP7"
"598","KLHL21"
"599","LPAR1"
"600","ST3GAL4"
"601","IGF2BP2"
"602","AKAP12"
"603","HEG1"
"604","CD59"
"605","CBR1"
"606","FXYD1"
"607","EFS"
"608","ITGA6"
"609","ADAMTSL1"
"610","ABLIM3"
"611","SNN"
"612","PKNOX2"
"613","B4GALNT1"
"614","SLC23A2"
"615","FRMD5"
"616","RUNX1"
