"","x"
"1","ANPEP"
"2","CD24"
"3","CD44"
"4","CELA2A"
"5","CELA2B"
"6","CELA3A"
"7","CELA3B"
"8","CLPS"
"9","CPA1"
"10","CPA2"
"11","CPB1"
"12","CTRB1"
"13","CTRB2"
"14","CTRC"
"15","CTRL"
"16","CUZD1"
"17","EEF1B2"
"18","FOXD2"
"19","GATM"
"20","GP2"
"21","IFITM3"
"22","IL32"
"23","KLK1"
"24","MGST1"
"25","PLA2G1B"
"26","PLTP"
"27","PNLIP"
"28","PNLIPRP1"
"29","PNLIPRP2"
"30","PRSS1"
"31","PRSS2"
"32","PRSS3"
"33","REG1A"
"34","REG1B"
"35","REG1P"
"36","RNASE1"
"37","SERPINA3"
"38","SOD2"
"39","SPINK1"
"40","SYCN"
"41","UGDH"
"42","YBX3"
"43","REG3G"
"44","RPL29"
"45","ZFP36L1"
"46","SLC25A37"
"47","CEL"
"48","ALDOB"
"49","PDIA2"
"50","SERPINB1"
"51","COL6A2"
"52","BGN"
"53","COL6A1"
"54","COL6A3"
"55","PDGFRB"
"56","COL1A1"
"57","SPARC"
"58","MMP14"
"59","COL1A2"
"60","C11orf96"
"61","TIMP1"
"62","AEBP1"
"63","COL3A1"
"64","IGFBP4"
"65","MMP2"
"66","SERPINH1"
"67","EMILIN1"
"68","PXDN"
"69","SFRP2"
"70","CRLF1"
"71","LGALS1"
"72","FKBP10"
"73","CYGB"
"74","SERPINE1"
"75","COL15A1"
"76","CALD1"
"77","VCAN"
"78","COL5A1"
"79","MFGE8"
"80","ENG"
"81","IGFBP7"
"82","COL4A1"
"83","TIMP3"
"84","FN1"
"85","THBS2"
"86","LRP1"
"87","LOXL2"
"88","COL18A1"
"89","FMOD"
"90","PRRX1"
"91","FSTL1"
"92","CRISPLD2"
"93","ITGA5"
"94","FLNA"
"95","CEBPB"
"96","VIM"
"97","INHBA"
"98","C1S"
"99","NOTCH3"
"100","SMIM3"
"101","ALDH1A1"
"102","CD99"
"103","CHGA"
"104","CHGB"
"105","CLU"
"106","CST3"
"107","CYSTM1"
"108","EMC10"
"109","F10"
"110","FEV"
"111","FXYD5"
"112","GC"
"113","GCG"
"114","GLS"
"115","GPX3"
"116","HLA.A"
"117","IRX2"
"118","MUC13"
"119","PCSK1N"
"120","PCSK2"
"121","RGS4"
"122","RNASEK"
"123","SCG5"
"124","SERPINA1"
"125","SLC7A2"
"126","SPINT2"
"127","TM4SF4"
"128","TMEM176A"
"129","TMEM176B"
"130","TTR"
"131","VGF"
"132","SMOC1"
"133","SMIM24"
"134","PDK4"
"135","PAPPA2"
"136","VSTM2L"
"137","PLD3"
"138","IGFBP2"
"139","SLC22A17"
"140","PALLD"
"141","COTL1"
"142","CRYBA2"
"143","KCTD12"
"144","PEMT"
"145","ARX"
"146","CALY"
"147","ATP5E"
"148","FXYD3"
"149","BSG"
"150","CPE"
"151","ABCC8"
"152","ADCYAP1"
"153","C1QL1"
"154","DLK1"
"155","EEF1A2"
"156","ERO1B"
"157","GAD2"
"158","HADH"
"159","IAPP"
"160","IGF2"
"161","INS"
"162","MAFA"
"163","PCSK1"
"164","UCHL1"
