"","x"
"1","CTRB1"
"2","CELA3A"
"3","PRSS1"
"4","CTRB2"
"5","PRSS2"
"6","CLPS"
"7","CELA3B"
"8","CPA2"
"9","PLA2G1B"
"10","CTRC"
"11","KLK1"
"12","PNLIPRP1"
"13","REG1A"
"14","CPA1"
"15","SPINK1"
"16","PNLIPRP2"
"17","CELA2A"
"18","SYCN"
"19","CPB1"
"20","PRSS3"
"21","REG1B"
"22","CTRL"
"23","CUZD1"
"24","CD44"
"25","MGST1"
"26","CELA2B"
"27","FOXD2"
"28","REG1P"
"29","UGDH"
"30","IL32"
"31","PNLIP"
"32","GP2"
"33","SERPINA3"
"34","SERPINB1"
"35","EEF1B2"
"36","PLTP"
"37","SLC39A5"
"38","PDIA2"
"39","RPL29"
"40","AMY2A"
"41","GAS5"
"42","RNASE1"
"43","RPL12"
"44","AADAC"
"45","CEL"
"46","AGTRAP"
"47","EEF1D"
"48","PCDHB4"
"49","REG3G"
"50","AZGP1"
"51","COL6A2"
"52","COL6A3"
"53","CRLF1"
"54","COL6A1"
"55","BGN"
"56","MMP14"
"57","TIMP1"
"58","COL5A1"
"59","FKBP10"
"60","SFRP2"
"61","PRRX1"
"62","THBS2"
"63","COL1A1"
"64","EMILIN1"
"65","VCAN"
"66","AEBP1"
"67","COL1A2"
"68","SPARC"
"69","LRP1"
"70","COL3A1"
"71","LOXL2"
"72","PDGFRB"
"73","COL15A1"
"74","TGFB3"
"75","GFPT2"
"76","SERPINH1"
"77","MMP2"
"78","FMOD"
"79","LAMC3"
"80","MXRA8"
"81","INHBA"
"82","LUM"
"83","CALD1"
"84","MRC2"
"85","TPM2"
"86","PDGFRA"
"87","SPON2"
"88","LTBP1"
"89","VSTM4"
"90","ADAMTS12"
"91","MFGE8"
"92","SPON1"
"93","CTHRC1"
"94","FBN1"
"95","LTBP2"
"96","SERPINF1"
"97","PCOLCE"
"98","COL5A2"
"99","DDR2"
"100","LGALS1"
"101","TTR"
"102","GCG"
"103","CLU"
"104","TMEM176B"
"105","GC"
"106","GPX3"
"107","TMEM176A"
"108","PCSK2"
"109","IRX2"
"110","CD99"
"111","RNASEK"
"112","SLC7A2"
"113","TM4SF4"
"114","CST3"
"115","SCG5"
"116","CYSTM1"
"117","ALDH1A1"
"118","F10"
"119","FXYD5"
"120","SPINT2"
"121","RGS4"
"122","GLS"
"123","VGF"
"124","FEV"
"125","EMC10"
"126","PCSK1N"
"127","SLC22A17"
"128","SMIM24"
"129","PDK4"
"130","BSG"
"131","IGFBP2"
"132","FXYD3"
"133","ATP5E"
"134","SMOC1"
"135","PALLD"
"136","VSTM2L"
"137","HLA.A"
"138","ARX"
"139","CRYBA2"
"140","CAMK2G"
"141","PLD3"
"142","MUC13"
"143","CHGB"
"144","PAPPA2"
"145","KIAA1324"
"146","CALY"
"147","NENF"
"148","KCTD12"
"149","NUCB1"
"150","COX8A"
"151","INS"
"152","HADH"
"153","IAPP"
"154","ERO1B"
"155","UCHL1"
"156","ELMO1"
"157","SCGN"
"158","NKX6.1"
"159","GAD2"
"160","PPP1R1A"
"161","SYT13"
"162","C1QL1"
"163","DLK1"
"164","CPE"
"165","GSN"
"166","MAFA"
"167","HOPX"
"168","PDX1"
"169","ABCC8"
"170","PAPSS2"
"171","C1orf127"
"172","SLC6A6"
"173","SLC30A8"
"174","PLCXD3"
"175","EEF1A2"
"176","G6PC2"
"177","VAT1L"
"178","NPTX2"
"179","TSC22D1"
"180","MEG3"
"181","SORL1"
"182","ENDOD1"
"183","CDKN1C"
"184","TSPAN13"
"185","CADM1"
"186","STX1A"
"187","TMOD1"
"188","SYT7"
"189","IGF2"
"190","SURF4"
"191","PEMT"
"192","SLC2A13"
"193","MAPT"
"194","TSPAN1"
"195","EIF4A2"
"196","MSI2"
"197","PCSK1"
"198","PFKFB2"
"199","DNAJC12"
"200","MXRA7"
"201","SST"
"202","LEPR"
"203","RBP4"
"204","SEC11C"
"205","LY6H"
"206","BCHE"
"207","CBLN4"
"208","HHEX"
"209","RGS2"
"210","BAIAP3"
"211","DHRS2"
"212","NLRP1"
"213","PCP4"
"214","GABRB3"
"215","DPYSL3"
"216","ANK1"
"217","PON3"
"218","MIR7.3HG"
"219","ERBB4"
"220","LRFN5"
"221","MAP1B"
"222","MLPH"
"223","ARFGEF3"
"224","GCH1"
"225","IDS"
"226","CALB1"
"227","MEST"
"228","BEX1"
"229","FHOD3"
"230","MS4A8"
"231","HAP1"
"232","OPRD1"
"233","ASB4"
"234","PSIP1"
"235","TMEM130"
"236","ECEL1"
"237","QDPR"
"238","FAM177B"
"239","DIRAS3"
"240","D4S234E"
"241","ISL1"
"242","FGF14"
"243","PKIB"
"244","PAIP2B"
"245","PLAC8"
"246","GABRG2"
"247","EDN3"
"248","SSTR1"
"249","BMP5"
"250","TACSTD2"
"251","KRT19"
"252","KRT7"
"253","ANXA2"
"254","SERINC2"
"255","PRSS8"
"256","S100A11"
"257","TPM1"
"258","ANXA4"
"259","CDC42EP1"
"260","CD24"
"261","PMEPA1"
"262","CLDN1"
"263","PPAP2C"
"264","LAD1"
"265","KRT18"
"266","S100A14"
"267","S100A10"
"268","SERPING1"
"269","TINAGL1"
"270","KRT8"
"271","TMSB10"
"272","LGALS4"
"273","SOX4"
"274","CFB"
"275","SLC4A4"
"276","SDC4"
"277","LCN2"
"278","ACTN4"
"279","MALL"
"280","BACE2"
"281","SMAD3"
"282","TSPO"
"283","SERPINA5"
"284","ELF3"
"285","C1orf106"
"286","KIAA1522"
"287","CLDN4"
"288","TMSB4X"
"289","JUP"
"290","SPINT1"
"291","C3"
"292","ZFP36L1"
"293","ABCC3"
"294","RHOC"
"295","SAT1"
"296","ANXA3"
"297","AGRN"
"298","CFTR"
"299","PFKFB3"
"300","PLVAP"
"301","ACVRL1"
"302","ENG"
"303","PODXL"
"304","CD93"
"305","PECAM1"
"306","ESAM"
"307","PCAT19"
"308","RGCC"
"309","FLT1"
"310","TIE1"
"311","SOX18"
"312","KDR"
"313","HSPG2"
"314","ECSCR"
"315","ADGRL4"
"316","TCF4"
"317","VWF"
"318","FKBP1A"
"319","ESM1"
"320","SEMA3F"
"321","S1PR1"
"322","ROBO4"
"323","STC1"
"324","ITGA5"
"325","PPAP2B"
"326","EGFL7"
"327","DYSF"
"328","ERG"
"329","ETS1"
"330","CLIC4"
"331","PXDN"
"332","FAM43A"
"333","ADGRF5"
"334","CLDN5"
"335","HTRA1"
"336","CXCR4"
"337","NOTCH4"
"338","PASK"
"339","TP53I11"
"340","CDH5"
"341","LAMA4"
"342","NRP2"
"343","MCAM"
"344","EMP1"
"345","CYP1A1"
"346","FSCN1"
"347","PTPRB"
"348","INSR"
"349","PNP"
"350","GHRL"
"351","FRZB"
"352","ACSL1"
"353","VTN"
"354","SPTSSB"
"355","NNMT"
"356","APOH"
"357","ASGR1"
"358","ACOT7"
"359","TRNP1"
"360","SEZ6L"
"361","HEPACAM2"
"362","SLC12A5"
"363","HMP19"
"364","ITGA7"
"365","HOMER1"
"366","MDFIC"
"367","CDO1"
"368","FAXDC2"
"369","TFF3"
"370","CDHR5"
"371","C2orf54"
"372","SCN3A"
"373","PDE2A"
"374","AK5"
"375","NPHP4"
"376","CACNB2"
"377","PDE8B"
"378","SAMD5"
"379","ETNK2"
"380","KIAA1147"
"381","ARHGEF25"
"382","CMTM8"
"383","NRD1"
"384","ECE2"
"385","TP53INP1"
"386","ZKSCAN1"
"387","LRRC4B"
"388","PI4K2B"
"389","ANK3"
"390","C2orf72"
"391","PPY"
"392","AQP3"
"393","SERTM1"
"394","CARD11"
"395","CHRM3"
"396","STMN2"
"397","KCNG1"
"398","SLC6A4"
"399","ENTPD2"
"400","MEIS2"
"401","PAX6"
"402","PLEKHB1"
"403","CHN2"
"404","ETV1"
"405","SCG2"
"406","ID2"
"407","NPW"
"408","MALAT1"
"409","NBL1"
"410","PTP4A3"
"411","FXYD2"
"412","GCNT3"
"413","GRAMD1B"
"414","ITM2C"
"415","NPDC1"
"416","PLXNB2"
"417","FGB"
"418","C16orf45"
"419","BTG2"
"420","PEG10"
"421","AES"
"422","PXK"
"423","FGFR1"
"424","NEURL1"
"425","NR0B1"
"426","EGR1"
"427","HGD"
"428","ID4"
"429","FURIN"
"430","SEMA3E"
"431","ID1"
"432","CTSB"
"433","HLA.DRA"
"434","ACP5"
"435","LAPTM5"
"436","CTSD"
"437","HLA.DRB1"
"438","LCP1"
"439","CTSS"
"440","CD68"
"441","HLA.DPA1"
"442","CD74"
"443","APOE"
"444","TNFRSF1B"
"445","SLC15A3"
"446","SEMA6B"
"447","HLA.DQB1"
"448","GPNMB"
"449","TBXAS1"
"450","SRGN"
"451","HLA.DPB1"
"452","SLC7A7"
"453","GPX1"
"454","CTSL"
"455","FUCA1"
"456","HLA.DMA"
"457","GM2A"
"458","NINJ1"
"459","SAMHD1"
"460","CYP27A1"
"461","CAPG"
"462","OGFRL1"
"463","LYZ"
"464","ARRB2"
"465","PDPN"
"466","NCF2"
"467","GPSM3"
"468","LIPA"
"469","CD14"
"470","RNASET2"
"471","THEMIS2"
"472","SLC16A3"
"473","CXCL16"
"474","IL1B"
"475","CREG1"
"476","GRN"
"477","UCP2"
"478","ARL4C"
"479","CYB561A3"
"480","GRINA"
"481","SIRPA"
"482","GATA2"
"483","LTC4S"
"484","RAC2"
"485","S100A4"
"486","ARHGDIB"
"487","PTGS1"
"488","IL4R"
"489","RGS10"
"490","NSMCE1"
"491","ADAMTS7"
"492","LPCAT2"
"493","AHNAK"
"494","ABCC4"
"495","STK17B"
"496","DUSP6"
"497","ADAM12"
"498","PTPN6"
"499","SLC18A2"
"500","ALOX5"
"501","LCP2"
"502","GLUL"
"503","LAT2"
"504","ATP6V0A2"
"505","NDRG2"
"506","HCLS1"
"507","RIN3"
"508","SLC45A3"
"509","RGS19"
"510","TTYH2"
"511","NDST2"
"512","LMO4"
"513","ZEB2"
"514","KLHL6"
"515","SYTL3"
"516","RHOG"
"517","FOXP1"
"518","ZFP36"
"519","ASIC3"
"520","SEMA4D"
"521","SEMA7A"
"522","MAOB"
"523","CD9"
"524","CELF2"
"525","ADCY7"
"526","ADCY3"
"527","NDUFA4L2"
"528","EDNRA"
"529","C11orf96"
"530","KLF9"
"531","IGFBP4"
"532","IFITM2"
"533","EPAS1"
"534","RGS5"
"535","GJA4"
"536","CSRP2"
"537","EDNRB"
"538","IL24"
"539","OLFML2A"
"540","ADAMTS4"
"541","CRISPLD2"
"542","ADIRF"
"543","IFITM1"
"544","NOTCH3"
"545","WNT5A"
"546","HEYL"
"547","PAG1"
"548","SMIM3"
"549","TBX2"
"550","KCNE4"
"551","ADAMTS1"
"552","CYGB"
"553","IFITM3"
"554","CD248"
"555","APOLD1"
"556","TBX3"
"557","TFPI"
"558","CEBPB"
"559","IL1R1"
"560","NR2F2"
"561","GRK5"
"562","MYL9"
"563","BST2"
"564","PLAC9"
"565","AKR1B1"
"566","CDH11"
"567","RASD2"
"568","RAB31"
"569","ID3"
"570","CHSY1"
"571","CAV1"
"572","CHST2"
"573","ADRA2C"
"574","AXL"
"575","CRYAB"
"576","PMP22"
"577","RCAN1"
"578","DAG1"
"579","ST6GALNAC2"
"580","NOV"
"581","BTC"
"582","ITGB8"
"583","TIMP3"
"584","DKK3"
"585","PDLIM4"
"586","GAP43"
"587","LGALS3"
"588","ATOX1"
"589","PAPPA"
"590","SVIL"
"591","EHBP1"
"592","NES"
"593","GPC1"
"594","L1CAM"
"595","LOXL3"
"596","S100B"
"597","SERPINE2"
"598","SERINC5"
"599","AQP7"
"600","KLHL21"
"601","LPAR1"
"602","ST3GAL4"
"603","IGF2BP2"
"604","HEG1"
"605","AKAP12"
"606","CD59"
"607","CBR1"
"608","EFS"
"609","FXYD1"
"610","ITGA6"
"611","ADAMTSL1"
"612","ABLIM3"
"613","SNN"
"614","PKNOX2"
"615","B4GALNT1"
"616","SLC23A2"
"617","FRMD5"
"618","RUNX1"
