"","x"
"1","SST"
"2","PPY"
"3","INS"
"4","GCG"
"5","GHRL"
"6","REG1A"
"7","IAPP"
"8","REG3A"
"9","PRSS2"
"10","TTR"
"11","COL1A1"
"12","CELA3A"
"13","CTRB2"
"14","CTRB1"
"15","CXCL8"
"16","REG1B"
"17","MMP9"
"18","PRSS1"
"19","CPA1"
"20","TIMP1"
"21","SPP1"
"22","ACTA1"
"23","CXCL5"
"24","CLPS"
"25","CELA3B"
"26","OLFM4"
"27","ACP5"
"28","SERPINA1"
"29","PLA2G1B"
"30","SERPINA3"
"31","H19"
"32","IGFBP5"
"33","FN1"
"34","SPINK1"
"35","HSPA5"
"36","MMP1"
"37","COL1A2"
"38","COL3A1"
"39","CELA2A"
"40","IL24"
"41","CPB1"
"42","TIMP3"
"43","LYZ"
"44","MT2A"
"45","HAMP"
"46","KRT17"
"47","IL1B"
"48","CDKN1C"
"49","CXCL1"
"50","FTH1"
"51","FGF19"
"52","IER3"
"53","GDF15"
"54","FTL"
"55","ADCYAP1"
"56","PLVAP"
"57","S100A6"
"58","IGFBP3"
"59","PI3"
"60","PNLIP"
"61","SERPINE1"
"62","BGN"
"63","COL6A3"
"64","IL11"
"65","MT1G"
"66","C11orf96"
"67","ACTG1"
"68","RBP4"
"69","IL6"
"70","TMSB4X"
"71","PTGS2"
"72","CD74"
"73","FGB"
"74","COL6A2"
"75","REG3G"
"76","MT1A"
"77","LCN2"
"78","HLA.DRA"
"79","TFF1"
"80","CHGA"
"81","VGF"
"82","NPY"
"83","APOE"
"84","ALB"
"85","COL6A1"
"86","SOD2"
"87","FGG"
"88","CTSD"
"89","SERPINB2"
"90","DLK1"
"91","LIF"
"92","UCA1"
"93","RGCC"
"94","MMP7"
"95","CRYAB"
"96","PLAU"
"97","C10orf10"
"98","GNAS"
"99","INHBA"
"100","CLU"
"101","IL23A"
"102","MT1M"
"103","ENG"
"104","GATA2"
"105","SYCN"
"106","CHGB"
"107","CYP1A1"
"108","CXCL6"
"109","CTRC"
"110","SPARC"
"111","TFPI2"
"112","MUC13"
"113","LAPTM5"
"114","HMOX1"
"115","CCL20"
"116","PLAT"
"117","PEG10"
"118","CPA2"
"119","IGFBP4"
"120","CCL2"
"121","TGFBI"
"122","PRSS3"
"123","HSPB1"
"124","CXCL3"
"125","PI15"
"126","SERPINB7"
"127","THBS1"
"128","ALDOB"
"129","AQP3"
"130","SPON2"
"131","KRT19"
"132","STC1"
"133","PDK4"
"134","G0S2"
"135","TAGLN"
"136","HSPA6"
"137","CXCR4"
"138","KRT7"
"139","GAPDH"
"140","SRGN"
"141","PECAM1"
"142","PASK"
"143","RGS5"
"144","MALAT1"
"145","SFRP2"
"146","GP2"
"147","COL18A1"
"148","MT1E"
"149","RRAD"
"150","CYGB"
"151","SETX"
"152","LOXL4"
"153","AGT"
"154","TM4SF4"
"155","C3"
"156","IGF2"
"157","IGFBP7"
"158","NMB"
"159","TMSB10"
"160","IL32"
"161","DDIT4"
"162","CUZD1"
"163","CTGF"
"164","TACSTD2"
"165","MMP11"
"166","FLT1"
"167","KRT8"
"168","SCG2"
"169","PODXL"
"170","PMEPA1"
"171","CPE"
"172","GAL"
"173","CYP1B1"
"174","CFB"
"175","DUOXA2"
"176","ANXA2"
