"","x"
"1","AADAC"
"2","AKR1C3"
"3","ALDOB"
"4","AMY2A"
"5","ANPEP"
"6","AZGP1"
"7","CD44"
"8","CEL"
"9","CELA2A"
"10","CELA2B"
"11","CELA3A"
"12","CELA3B"
"13","CHGA"
"14","CHGB"
"15","CLPS"
"16","CPA1"
"17","CPA2"
"18","CPB1"
"19","CPE"
"20","CTRB1"
"21","CTRB2"
"22","CTRC"
"23","CTRL"
"24","CUZD1"
"25","CXCL17"
"26","DEFB1"
"27","FOXD2"
"28","GATM"
"29","GP2"
"30","GSTA1"
"31","GSTA2"
"32","HAMP"
"33","HLA.A"
"34","IFITM3"
"35","IL32"
"36","KLK1"
"37","MGST1"
"38","MT1G"
"39","MXRA7"
"40","NUPR1"
"41","PCDHB4"
"42","PCSK1N"
"43","PDIA2"
"44","PDZK1IP1"
"45","PLA2G1B"
"46","PLTP"
"47","PNLIP"
"48","PNLIPRP1"
"49","PNLIPRP2"
"50","PRSS1"
"51","A2M"
"52","ADAMTS12"
"53","AEBP1"
"54","ANO1"
"55","BASP1"
"56","BGN"
"57","C11orf96"
"58","C1S"
"59","C7"
"60","CCDC80"
"61","CD248"
"62","CDH11"
"63","COL12A1"
"64","COL15A1"
"65","COL16A1"
"66","COL1A1"
"67","COL1A2"
"68","COL3A1"
"69","COL4A1"
"70","COL5A1"
"71","COL5A2"
"72","COL5A3"
"73","COL6A1"
"74","COL6A2"
"75","COL6A3"
"76","COL7A1"
"77","CRISPLD2"
"78","CRLF1"
"79","CTHRC1"
"80","CTSK"
"81","CYBRD1"
"82","CYGB"
"83","CYP1B1"
"84","DCN"
"85","DDR2"
"86","EMILIN1"
"87","EMP1"
"88","ENG"
"89","F2R"
"90","FBLN1"
"91","FBN1"
"92","FKBP10"
"93","FMOD"
"94","FN1"
"95","FOXF2"
"96","GFPT2"
"97","GGT5"
"98","HEYL"
"99","HIC1"
"100","HSD11B1"
"101","ARX"
"102","CRYBA2"
"103","F10"
"104","FEV"
"105","FXYD3"
"106","GC"
"107","GPX3"
"108","IRX2"
"109","KCTD12"
"110","LOXL4"
"111","MUC13"
"112","PAPPA2"
"113","PCSK2"
"114","RGS4"
"115","SLC7A2"
"116","SMIM24"
"117","SMOC1"
"118","TIMP2"
"119","TM4SF4"
"120","TMEM176A"
"121","TMEM176B"
"122","VGF"
"123","VSTM2L"
"124","GLS"
"125","CALY"
"126","HADH"
"127","FXYD5"
"128","SERPINA1"
"129","C5orf38"
"130","IGFBP2"
"131","DPP4"
"132","COTL1"
"133","PPP2R2B"
"134","SCG5"
"135","GCG"
"136","CAMK2G"
"137","ALDH1A1"
"138","PALLD"
"139","TTR"
"140","CRH"
"141","FAP"
"142","PTP4A3"
"143","PDK4"
"144","SLC22A17"
"145","USH1C"
"146","FABP5"
"147","CLU"
"148","ABCC8"
"149","ADCYAP1"
"150","C1QL1"
"151","C1orf127"
"152","DLK1"
"153","EEF1A2"
"154","ELMO1"
"155","ERO1B"
"156","G6PC2"
"157","GAD2"
"158","GSN"
"159","HOPX"
"160","IAPP"
"161","IGF2"
"162","LDHA"
"163","MAFA"
"164","MEG3"
"165","NKX6.1"
"166","NPTX2"
"167","PCSK1"
"168","PDX1"
"169","RGS16"
"170","RHOC"
"171","SLC6A6"
"172","STX1A"
"173","SYT13"
"174","TM4SF1"
"175","TSPAN1"
"176","UCHL1"
"177","VAT1L"
"178","VIM"
"179","ZFP36L1"
"180","SORL1"
"181","PLCXD3"
"182","ENDOD1"
"183","RBP4"
"184","NLRP1"
"185","MAPT"
"186","HSPB1"
"187","GJD2"
"188","PEMT"
"189","SAMD11"
"190","BMP5"
"191","CADM1"
"192","SLC30A8"
"193","BCHE"
"194","LEPR"
"195","LY6H"
"196","CBLN4"
"197","HHEX"
"198","DPYSL3"
"199","DHRS2"
"200","CALB1"
"201","LRFN5"
"202","ANXA2"
"203","RGS2"
"204","FRZB"
"205","BAIAP3"
"206","ANK1"
"207","PCP4"
"208","MLPH"
"209","ERBB4"
"210","MS4A8"
"211","AQP3"
"212","GABRB3"
"213","UCP2"
"214","PON3"
"215","ASB4"
"216","MIR7.3HG"
"217","AGTR1"
"218","FHOD3"
"219","ECEL1"
"220","TMEM130"
"221","SEC11C"
"222","MEST"
"223","EDN3"
"224","UNC5B"
"225","GABRG2"
"226","ARFGEF3"
