"","x"
"1","AADAC"
"2","AGTRAP"
"3","AKR1C1"
"4","AKR1C2"
"5","AKR1C3"
"6","AKR7A3"
"7","AMY2A"
"8","AMY2B"
"9","ANKRD37"
"10","ANXA10"
"11","AQP8"
"12","ARHGDIG"
"13","ATP4A"
"14","AZGP1"
"15","BCL2L15"
"16","C2orf88"
"17","CA12"
"18","CASP9"
"19","CCNO"
"20","CEL"
"21","CELA2A"
"22","CELA2B"
"23","CELA3A"
"24","CELA3B"
"25","CLPS"
"26","CPA1"
"27","CPA2"
"28","CPA4"
"29","CPB1"
"30","CPM"
"31","CRYAB"
"32","CTRB1"
"33","CTRB2"
"34","CTRC"
"35","CTRL"
"36","CUZD1"
"37","CXCL12"
"38","CYP27B1"
"39","EPYC"
"40","FGL1"
"41","FOXD2"
"42","GATA2"
"43","GATA4"
"44","GP2"
"45","GSTA1"
"46","GSTA2"
"47","HAMP"
"48","HTR3A"
"49","IFITM1"
"50","IFITM2"
"51","A2M"
"52","ABLIM3"
"53","ACTA2"
"54","ADAM12"
"55","ADAMTS12"
"56","ADAMTS2"
"57","ADGRA2"
"58","AEBP1"
"59","ANO1"
"60","ANTXR1"
"61","ANTXR2"
"62","BASP1"
"63","BDKRB1"
"64","BGN"
"65","BMP1"
"66","BMP2"
"67","C1QTNF1"
"68","C1QTNF6"
"69","C3orf80"
"70","C7"
"71","CALD1"
"72","CALHM2"
"73","CAV1"
"74","CCDC102B"
"75","CCDC71L"
"76","CCDC74A"
"77","CCDC80"
"78","CD248"
"79","CDH11"
"80","CHI3L1"
"81","CLMP"
"82","COL12A1"
"83","COL15A1"
"84","COL16A1"
"85","COL18A1"
"86","COL1A1"
"87","COL1A2"
"88","COL3A1"
"89","COL5A1"
"90","COL5A2"
"91","COL5A3"
"92","COL6A1"
"93","COL6A2"
"94","COL6A3"
"95","COL7A1"
"96","COLEC11"
"97","CRADD"
"98","CREB3L1"
"99","CRLF1"
"100","CTHRC1"
"101","A1CF"
"102","ABHD15"
"103","ADCY1"
"104","ADCY2"
"105","ADGRG2"
"106","AGT"
"107","ALDH1A1"
"108","AP1S2"
"109","APOH"
"110","ARRDC4"
"111","ARX"
"112","B4GALNT3"
"113","BAIAP2L2"
"114","BTBD11"
"115","BVES"
"116","C19orf81"
"117","C5orf38"
"118","CA5B"
"119","CACNG4"
"120","CADM4"
"121","CALY"
"122","CAMK2G"
"123","CCDC153"
"124","CCDC86"
"125","CD99"
"126","CD99L2"
"127","CFC1"
"128","CHGB"
"129","CLU"
"130","CNNM1"
"131","COL27A1"
"132","COL9A2"
"133","COTL1"
"134","CPLX1"
"135","CRH"
"136","CRYBA2"
"137","CTSZ"
"138","DAPK2"
"139","DGAT2"
"140","DNM1"
"141","DPP4"
"142","ENPP1"
"143","EPG5"
"144","F10"
"145","FAIM2"
"146","FAM110B"
"147","FAM171A2"
"148","FAM83F"
"149","FAM84A"
"150","FAP"
"151","ABCC8"
"152","ACPP"
"153","ADCYAP1"
"154","ADRA2A"
"155","ANO5"
"156","APBA1"
"157","APBB2"
"158","APOBEC2"
"159","ARHGAP24"
"160","ASB9"
"161","ATP2A3"
"162","ATRNL1"
"163","BHLHE41"
"164","BMP5"
"165","C10orf10"
"166","C1QL1"
"167","C1orf127"
"168","C22orf42"
"169","C2CD4A"
"170","C9orf135"
"171","CADM1"
"172","CAPN13"
"173","CAPS"
"174","CD5"
"175","CDH2"
"176","CDK5R1"
"177","CDKN1C"
"178","CDKN2C"
"179","CHST8"
"180","CLGN"
"181","CNP"
"182","COLGALT2"
"183","CPD"
"184","CTNNA2"
"185","CYP2U1"
"186","CYYR1"
"187","DACH2"
"188","DDIT3"
"189","DLG2"
"190","DLK1"
"191","DNAH5"
"192","DNAJB9"
"193","DOCK10"
"194","DYNC1I1"
"195","DYNLT3"
"196","EDARADD"
"197","EDN3"
"198","ELAVL4"
"199","ELMO1"
"200","ENDOD1"
"201","AGTR1"
"202","AK5"
"203","AMIGO2"
"204","ANK1"
"205","ANK3"
"206","ASB4"
"207","BAIAP3"
"208","BCHE"
"209","CABP7"
"210","CALB1"
"211","CALCB"
"212","CBLN4"
"213","CNGA3"
"214","D4S234E"
"215","DIRAS3"
"216","ECEL1"
"217","ERBB4"
"218","F5"
"219","FAM177B"
"220","FHOD3"
"221","GABRG2"
"222","HAP1"
"223","HHEX"
"224","LEPR"
"225","LRCH2"
"226","LRFN5"
"227","LY6H"
"228","MEST"
"229","MLPH"
"230","MS4A8"
"231","OPRD1"
"232","PCSK1"
"233","PON3"
"234","RBP4"
"235","RGS2"
"236","RTP4"
"237","SST"
"238","TMEM130"
"239","TMPRSS6"
"240","TTR"
"241","GFRA1"
"242","DCX"
"243","SLC4A8"
"244","PCK1"
"245","FLRT1"
"246","PIPOX"
"247","TAGLN3"
"248","HSPA5"
"249","ASCL1"
"250","TOX2"
"251","ABCC3"
"252","ABTB2"
"253","ACSF2"
"254","ACSL5"
"255","ACTN4"
"256","ADAM9"
"257","ADAMTS10"
"258","ADAMTS9"
"259","ADAP1"
"260","ADCY5"
"261","ADGRA3"
"262","ADGRF1"
"263","ADGRG6"
"264","ADH1C"
"265","ADORA1"
"266","AGRN"
"267","AIM1"
"268","AJUBA"
"269","AKAP7"
"270","AKR1B10"
"271","ALB"
"272","ALDH1A2"
"273","ALDH1A3"
"274","ALDH1B1"
"275","ALDH3A2"
"276","ALDOB"
"277","AMBP"
"278","AMOTL2"
"279","ANO9"
"280","ANPEP"
"281","ANXA1"
"282","ANXA2"
"283","ANXA3"
"284","ANXA4"
"285","ANXA9"
"286","APCDD1"
"287","APCS"
"288","APOBEC3C"
"289","APOL1"
"290","AQP1"
"291","ARAP2"
"292","AREG"
"293","ARHGAP26"
"294","ARHGAP27"
"295","ARHGEF18"
"296","ARNTL2"
"297","ARSJ"
"298","ASAP2"
"299","ASAP3"
"300","ASS1"
"301","ABHD17C"
"302","ABI3"
"303","ACE"
"304","ACKR3"
"305","ACVRL1"
"306","ADA"
"307","ADAMTS5"
"308","ADAMTS7"
"309","ADARB1"
"310","ADGRF5"
"311","ADGRL2"
"312","ADGRL4"
"313","ANGPT2"
"314","ANGPTL2"
"315","ARAP3"
"316","ARHGAP18"
"317","ARHGAP29"
"318","ARHGAP31"
"319","ARHGEF10"
"320","ATOH8"
"321","BCL6B"
"322","BDKRB2"
"323","BMPR2"
"324","BNIP2"
"325","BTN3A2"
"326","C10orf54"
"327","C1orf54"
"328","C4orf32"
"329","CA2"
"330","CALCRL"
"331","CARD6"
"332","CARD8"
"333","CASC15"
"334","CCDC69"
"335","CCDC85B"
"336","CD36"
"337","CD55"
"338","CD58"
"339","CD9"
"340","CD93"
"341","CDC42EP2"
"342","CDH5"
"343","CDK17"
"344","CDYL2"
"345","CHST1"
"346","CHST11"
"347","CHST15"
"348","CHST7"
"349","ASGR1"
"350","FRZB"
"351","GHRL"
"352","HMP19"
"353","SLC12A5"
"354","VTN"
"355","C2orf54"
"356","ACSL1"
"357","NNMT"
"358","ACOT7"
"359","HOMER1"
"360","SFRP1"
"361","SCN3A"
"362","FAXDC2"
"363","CDO1"
"364","ITGA7"
"365","FGFR3"
"366","ARHGEF25"
"367","CDHR5"
"368","TRNP1"
"369","LAT2"
"370","RTN4R"
"371","BLZF1"
"372","SPTSSB"
"373","DLL3"
"374","PHKG2"
"375","CACNB2"
"376","FXN"
"377","BRSK1"
"378","TRPC4"
"379","GK5"
"380","CBFA2T3"
"381","PAXBP1"
"382","CEP97"
"383","FGF14"
"384","ECE2"
"385","SGIP1"
"386","ACTC1"
"387","TRIM46"
"388","PDE2A"
"389","BAMBI"
"390","NUDT19"
"391","GTF2E2"
"392","AQP3"
"393","CARD11"
"394","CHN2"
"395","CHRM3"
"396","DNAJC22"
"397","DPYSL3"
"398","ENTPD2"
"399","FGB"
"400","GRAMD1B"
"401","KCNG1"
"402","KCTD16"
"403","NPW"
"404","PCDH9"
"405","PLEKHB1"
"406","PPY"
"407","ROR2"
"408","SERTM1"
"409","SLC6A4"
"410","SLC8A3"
"411","TNFRSF11B"
"412","MPPED2"
"413","MEIS2"
"414","DENND2A"
"415","PIANP"
"416","HPGD"
"417","GCNT3"
"418","MLIP"
"419","FABP5"
"420","SEMA3E"
"421","SAMD5"
"422","NPAS4"
"423","KLHL3"
"424","STMN2"
"425","JPH3"
"426","MRLN"
"427","GLT8D2"
"428","PTGFR"
"429","ETV1"
"430","SLC5A1"
"431","NR0B1"
"432","FAM159B"
"433","HCN2"
"434","ACP5"
"435","ADAP2"
"436","AKNA"
"437","APOE"
"438","ARRB2"
"439","BCL2A1"
"440","CD14"
"441","CD68"
"442","CD74"
"443","CD83"
"444","CREG1"
"445","CTSB"
"446","CTSC"
"447","CTSD"
"448","CTSL"
"449","CTSS"
"450","CXCL16"
"451","CXCL5"
"452","CYB561A3"
"453","CYP27A1"
"454","DOCK8"
"455","EMILIN2"
"456","FCMR"
"457","FES"
"458","FUCA1"
"459","GALM"
"460","GAS7"
"461","GM2A"
"462","GPNMB"
"463","GPSM3"
"464","HCST"
"465","HLA.DMA"
"466","HLA.DPA1"
"467","HLA.DPB1"
"468","HLA.DQB1"
"469","HLA.DRA"
"470","HLA.DRB1"
"471","IL1B"
"472","IL1RN"
"473","IRF5"
"474","LAPTM5"
"475","LCP1"
"476","LHFPL2"
"477","LIPA"
"478","LPXN"
"479","LYZ"
"480","MALT1"
"481","MMP9"
"482","ABCC4"
"483","ALOX5"
"484","ARHGDIB"
"485","ASIC3"
"486","ATP6V0A2"
"487","CTTNBP2"
"488","DDX60L"
"489","DEF6"
"490","DOCK5"
"491","DUSP6"
"492","EGR3"
"493","FARS2"
"494","FMNL1"
"495","GATSL3"
"496","HCLS1"
