"","x"
"1","REG3A"
"2","PPY"
"3","COL1A1"
"4","CXCL8"
"5","OLFM4"
"6","ACP5"
"7","IL24"
"8","SPP1"
"9","H19"
"10","IGFBP5"
"11","MMP1"
"12","TIMP3"
"13","FN1"
"14","COL3A1"
"15","HAMP"
"16","COL1A2"
"17","CXCL1"
"18","LYZ"
"19","GHRL"
"20","PLVAP"
"21","COL6A3"
"22","PTGS2"
"23","PI3"
"24","MMP9"
"25","IL11"
"26","FGF19"
"27","SERPINE1"
"28","KRT17"
"29","HLA.DRA"
"30","BGN"
"31","IGFBP3"
"32","REG3G"
"33","FGB"
"34","RGCC"
"35","APOE"
"36","LAPTM5"
"37","CD74"
"38","CXCL6"
"39","COL6A2"
"40","C11orf96"
"41","TIMP1"
"42","MT2A"
"43","IL6"
"44","REG1B"
"45","CYP1A1"
"46","ADCYAP1"
"47","LIF"
"48","PI15"
"49","MMP7"
"50","PLAU"
"51","TFF1"
"52","MT1G"
"53","COL6A1"
"54","PNLIP"
"55","CXCL5"
"56","TGFBI"
"57","CPA1"
"58","ACTA1"
"59","HSPA5"
"60","CELA2A"
"61","GATA2"
"62","PLAT"
"63","HMOX1"
"64","ENG"
"65","SERPINB2"
"66","CXCR4"
"67","SPON2"
"68","IL1B"
"69","CXCL3"
"70","PASK"
"71","SFRP2"
"72","GDF15"
"73","PECAM1"
"74","ALB"
"75","CPB1"
"76","STC1"
"77","RBP4"
"78","SRGN"
"79","INHBA"
"80","FGG"
"81","TFPI2"
"82","RGS5"
"83","ALDOB"
"84","CCL20"
"85","THBS1"
"86","CLPS"
"87","LCN2"
"88","TAGLN"
"89","CCL2"
"90","CELA3B"
"91","CDKN1C"
"92","CRYAB"
"93","PLA2G1B"
"94","HSPA6"
"95","SPARC"
"96","CYGB"
"97","PRSS1"
"98","NPY"
"99","FLT1"
"100","MMP11"
"101","CELA3A"
"102","CTGF"
"103","G0S2"
"104","IGFBP4"
"105","PODXL"
"106","PTGDS"
"107","CYP1B1"
"108","HLA.DRB1"
"109","SERPINB7"
"110","DLK1"
"111","ANGPT2"
