"","x"
"1","REG1A"
"2","SPINK1"
"3","BCAT1"
"4","REG1B"
"5","GSTA2"
"6","GSTA1"
"7","IL32"
"8","TC2N"
"9","ANPEP"
"10","C15orf48"
"11","REG3A"
"12","FAM129A"
"13","MUC1"
"14","B3GNT7"
"15","CTRB2"
"16","AOX1"
"17","CYB5A"
"18","LGALS2"
"19","KLK1"
"20","CFB"
"21","MGST1"
"22","CPA2"
"23","PLA2G1B"
"24","XBP1"
"25","RPL10"
"26","AKR1C3"
"27","GATM"
"28","PRSS3"
"29","GATA4"
"30","PRSS1"
"31","UGDH"
"32","ATP10B"
"33","KCNQ1"
"34","MTUS1"
"35","ALDOB"
"36","TRIB2"
"37","SERPINA3"
"38","OLFM4"
"39","MXRA5"
"40","TMEM97"
"41","CBS"
"42","PNLIP"
"43","RPS12"
"44","DUOX2"
"45","TPT1"
"46","SLC25A37"
"47","PRSS3P2"
"48","MECOM"
"49","CSDA"
"50","BCL2L15"
"51","TTR"
"52","GCG"
"53","PCSK2"
"54","IRX2"
"55","TM4SF4"
"56","GC"
"57","SLC7A2"
"58","NAA20"
"59","TMEM176B"
"60","ALDH1A1"
"61","SCG5"
"62","GLS"
"63","FAP"
"64","SLC22A17"
"65","CHGB"
"66","SLC38A4"
"67","KCTD12"
"68","TMEM176A"
"69","SPINT2"
"70","CLU"
"71","CD99L2"
"72","PTPRN2"
"73","NGFRAP1"
"74","PDE3B"
"75","PTPRT"
"76","ENPP2"
"77","RGS4"
"78","ARX"
"79","CRYBA2"
"80","KIAA1324"
"81","FSTL5"
"82","LOXL4"
"83","PDK3"
"84","COX8A"
"85","ELL2"
"86","GPX3"
"87","TMEM236"
"88","MOB1B"
"89","LOC100216479"
"90","FEV"
"91","TUSC3"
"92","CNTN1"
"93","HIGD1A"
"94","ADCY1"
"95","KIAA1244"
"96","F10"
"97","GCNT1"
"98","GCH1"
"99","FXYD6"
"100","CPE"
"101","SYT13"
"102","MAFA"
"103","INS"
"104","HADH"
"105","ADCYAP1"
"106","PFKFB2"
"107","PDX1"
"108","ERO1LB"
"109","RRAGD"
"110","SORL1"
"111","SCD5"
"112","SCD"
"113","UCHL1"
"114","SCGN"
"115","TGFBR3"
"116","VEGFA"
"117","NPTX2"
"118","MEG3"
"119","ABCC8"
"120","CSDE1"
"121","FAM105A"
"122","MAPT"
"123","EIF4A2"
"124","LOC154761"
"125","STXBP1"
"126","ROBO2"
"127","ENO2"
"128","ATP2A3"
"129","SREBF1"
"130","PRUNE2"
"131","RAPH1"
"132","SYT7"
"133","WSCD2"
"134","DSP"
"135","ENTPD3"
"136","ITPR3"
"137","TFCP2L1"
"138","PTPN3"
"139","LINC00263"
"140","PLCXD3"
"141","PEBP1"
"142","SMAD9"
"143","CCNI"
"144","ATRNL1"
"145","EDARADD"
"146","SUSD4"
"147","CASR"
"148","PLCB4"
"149","PIR"
"150","CYP2U1"
"151","SST"
"152","LEPR"
"153","SEC11C"
"154","HHEX"
"155","BCHE"
"156","TENM3"
"157","GHSR"
"158","CBLN4"
"159","GABRB3"
"160","AMIGO2"
"161","PCSK1"
"162","FHOD3"
"163","LOC728392"
"164","LPHN2"
"165","RBP4"
"166","GABRG2"
"167","KCNT2"
"168","DIRAS3"
"169","PSIP1"
"170","DPYSL3"
"171","ERBB4"
"172","PCP4"
"173","LRFN5"
"174","FRZB"
"175","ISL1"
"176","HAP1"
"177","KCTD8"
"178","NDRG4"
"179","RGS2"
"180","PRG4"
"181","FGF14"
"182","MS4A8B"
"183","TPD52"
"184","SLC17A6"
"185","SAMD5"
"186","HEPACAM2"
"187","MRAP2"
"188","ANK1"
"189","PRKACB"
"190","TPPP3"
"191","CALB1"
"192","LRCH2"
"193","DHRS2"
"194","BAMBI"
"195","CADM1"
"196","CABP7"
"197","IDS"
"198","AGTR1"
"199","CDHR3"
"200","CNGA3"
"201","ANXA2"
"202","ANXA4"
"203","CFTR"
"204","SLC4A4"
"205","LAD1"
"206","NDUFA4"
"207","SERPING1"
"208","ANXA2P2"
"209","CAV2"
"210","SEL1L3"
"211","LITAF"
"212","ANXA3"
"213","CLDN10"
"214","ATP1A1"
"215","CLDN1"
"216","ONECUT2"
"217","CD59"
"218","KRT8"
"219","FLRT2"
"220","KRT19"
"221","CTSH"
"222","SERPINA5"
"223","RHPN2"
"224","APLP2"
"225","TINAGL1"
"226","CMTM7"
"227","PROM1"
"228","S100A11"
"229","DEFB1"
"230","S100A10"
"231","VTCN1"
"232","KRT7"
"233","DCDC2"
"234","KIAA1522"
"235","HNMT"
"236","SPTBN1"
"237","KRT18"
"238","SEMA6A"
"239","AKAP7"
"240","SPP1"
"241","TGFA"
"242","SCNN1A"
"243","TMSB4X"
"244","YWHAZ"
"245","CDC42EP1"
"246","NDRG2"
"247","PIK3AP1"
"248","CD44"
"249","ALDH3A2"
"250","GOLM1"
"251","FLT1"
"252","TCF4"
"253","LOC100505495"
"254","SHANK3"
"255","ETS1"
"256","PODXL"
"257","ARHGAP31"
"258","PPAP2B"
"259","FSCN1"
"260","FAM198B"
"261","PNP"
"262","SMAD6"
"263","TMEM173"
"264","FZD4"
"265","NRP2"
"266","BDKRB2"
"267","PDGFB"
"268","PRDM1"
"269","ITGA5"
"270","PLEKHG1"
"271","PASK"
"272","THBS1"
"273","BMPR2"
"274","FAM43A"
"275","PDE2A"
"276","HTRA1"
"277","RAMP2"
"278","ACE"
"279","JAG1"
"280","EMP1"
"281","ANGPTL2"
"282","ADAMTS4"
"283","NQO1"
"284","SNAI1"
"285","NRP1"
"286","SPRY4"
"287","PLEKHO1"
"288","HEY1"
"289","LRRC8C"
"290","RAPGEF4"
"291","GNG11"
"292","MEF2C"
"293","DOCK4"
"294","RASGRP3"
"295","SEC14L1"
"296","TP53I11"
"297","ELK3"
"298","FKBP1A"
"299","DLC1"
"300","EPAS1"
"301","PPY"
"302","ETV1"
"303","SERTM1"
"304","SLITRK6"
"305","SLC6A4"
"306","GPC5-AS1"
"307","THSD7A"
"308","ENTPD2"
"309","MEIS2"
"310","CHN2"
"311","CARD11"
"312","ABCC9"
"313","CHRM3"
"314","PTGFR"
"315","ID2"
"316","PAX6"
"317","MEIS1"
"318","FGFR1"
"319","INPP5F"
"320","FGD4"
"321","ID4"
"322","ITM2C"
"323","TMEM47"
"324","AQP3"
"325","MDFIC"
"326","AHRR"
"327","CXXC4"
"328","STMN2"
"329","SEMA3E"
"330","CACNA1A"
"331","SLC8A3"
"332","MALAT1"
"333","ZNF503"
"334","PTP4A3"
"335","APOBEC2"
"336","EGR3"
"337","ACSL6"
"338","KCNG1"
"339","BCYRN1"
"340","C16orf45"
"341","BTG2"
"342","PCSK1N"
"343","LMO3"
"344","SCN2A"
"345","GLT8D2"
"346","PXK"
"347","SCG2"
"348","COL6A3"
"349","COL1A1"
"350","COL1A2"
"351","COL5A1"
"352","COL5A2"
"353","CDH11"
"354","PDGFRB"
"355","SERPINH1"
"356","NOTCH3"
"357","LTBP2"
"358","MRC2"
"359","FBN1"
"360","SPARC"
"361","COL3A1"
"362","COL5A3"
"363","CALD1"
"364","LOXL2"
"365","FN1"
"366","COL6A2"
"367","THBS2"
"368","LGALS1"
"369","COL6A1"
"370","LUM"
"371","SRPX2"
"372","PRRX1"
"373","SNAI2"
"374","NID1"
"375","GPX8"
"376","BGN"
"377","COL4A1"
"378","GFPT2"
"379","SLC1A5"
"380","CALU"
"381","COL15A1"
"382","VCAN"
"383","COL4A2"
"384","PXDN"
"385","MICAL2"
"386","LAMA2"
"387","ANTXR1"
"388","WNT5A"
"389","BMP8A"
"390","COL12A1"
"391","LTBP1"
"392","BASP1"
"393","HEYL"
"394","TIMP1"
"395","TNFAIP6"
"396","FMOD"
"397","TGFB1I1"
