"","x"
"1","REG1A"
"2","CTRB2"
"3","SPINK1"
"4","PRSS1"
"5","GSTA2"
"6","PRSS3P2"
"7","CPA2"
"8","CPA1"
"9","BCAT1"
"10","GSTA1"
"11","PLA2G1B"
"12","KLK1"
"13","REG1B"
"14","PNLIP"
"15","CEL"
"16","SERPINA3"
"17","PRSS3"
"18","MGST1"
"19","CTRC"
"20","CTRB1"
"21","IL32"
"22","CPB1"
"23","ANPEP"
"24","CD24"
"25","ALDOB"
"26","FAM129A"
"27","B3GNT7"
"28","TC2N"
"29","CELA2A"
"30","C15orf48"
"31","RNASE1"
"32","MUC1"
"33","ALB"
"34","AKR1C3"
"35","MTUS1"
"36","MECOM"
"37","MXRA5"
"38","ATP10B"
"39","LGALS2"
"40","GATM"
"41","TACSTD2"
"42","ZFP36L1"
"43","CFB"
"44","CYB5A"
"45","KCNQ1"
"46","REG3A"
"47","CTRL"
"48","SOD2"
"49","LDHB"
"50","GATA4"
"51","FAP"
"52","GC"
"53","IRX2"
"54","TM4SF4"
"55","PCSK2"
"56","ALDH1A1"
"57","ARX"
"58","GLS"
"59","LOXL4"
"60","KCTD12"
"61","TMEM176B"
"62","CRYBA2"
"63","SLC7A2"
"64","RGS4"
"65","FEV"
"66","CHGB"
"67","VGF"
"68","SLC38A4"
"69","PTPRT"
"70","SCG5"
"71","PLCE1"
"72","TMEM176A"
"73","TMEM236"
"74","FSTL5"
"75","SCG2"
"76","SLC22A17"
"77","CHGA"
"78","FABP5"
"79","GPX3"
"80","CD99L2"
"81","PDE3B"
"82","MUC13"
"83","ENPP2"
"84","PDK3"
"85","KLHL41"
"86","F10"
"87","SERPINE2"
"88","DPP4"
"89","KIAA1244"
"90","KCNJ3"
"91","QDPR"
"92","PTPRN2"
"93","ELL2"
"94","SMOC1"
"95","FXYD6"
"96","GPR64"
"97","POPDC3"
"98","PPP2R2B"
"99","GCH1"
"100","SPOCK3"
"101","INS"
"102","MAFA"
"103","SYT13"
"104","NPTX2"
"105","HADH"
"106","ADCYAP1"
"107","IAPP"
"108","SORL1"
"109","PDX1"
"110","PFKFB2"
"111","RRAGD"
"112","MEG3"
"113","TGFBR3"
"114","PCSK1"
"115","UCHL1"
"116","ERO1LB"
"117","SCD"
"118","ABCC8"
"119","SCD5"
"120","SCGN"
"121","CASR"
"122","MAPT"
"123","RBP4"
"124","FAM105A"
"125","LOC154761"
"126","ROBO2"
"127","ENO2"
"128","GLIS3"
"129","SMAD9"
"130","LINC00263"
"131","STXBP1"
"132","ENTPD3"
"133","ATP2A3"
"134","SREBF1"
"135","CYP2U1"
"136","PRUNE2"
"137","ALCAM"
"138","ATRNL1"
"139","TFCP2L1"
"140","PIR"
"141","WSCD2"
"142","PRSS23"
"143","ITPR3"
"144","RAPH1"
"145","PLCB4"
"146","ROBO1"
"147","PVRL3"
"148","GNPDA1"
"149","PKIB"
"150","SUSD4"
"151","LEPR"
