"","x"
"1","REG1A"
"2","SPINK1"
"3","BCAT1"
"4","REG1B"
"5","GSTA2"
"6","GSTA1"
"7","IL32"
"8","TC2N"
"9","ANPEP"
"10","C15orf48"
"11","REG3A"
"12","FAM129A"
"13","MUC1"
"14","B3GNT7"
"15","CTRB2"
"16","AOX1"
"17","LGALS2"
"18","CYB5A"
"19","KLK1"
"20","CFB"
"21","MGST1"
"22","CPA2"
"23","PLA2G1B"
"24","XBP1"
"25","AKR1C3"
"26","GATM"
"27","PRSS3"
"28","GATA4"
"29","PRSS1"
"30","UGDH"
"31","ATP10B"
"32","KCNQ1"
"33","MTUS1"
"34","ALDOB"
"35","TRIB2"
"36","SERPINA3"
"37","OLFM4"
"38","MXRA5"
"39","TMEM97"
"40","CBS"
"41","PNLIP"
"42","DUOX2"
"43","SLC25A37"
"44","PRSS3P2"
"45","MECOM"
"46","CSDA"
"47","BCL2L15"
"48","IMPA2"
"49","SAT1"
"50","P4HB"
"51","PCSK2"
"52","IRX2"
"53","TM4SF4"
"54","GC"
"55","SLC7A2"
"56","TMEM176B"
"57","ALDH1A1"
"58","SCG5"
"59","GLS"
"60","FAP"
"61","SLC22A17"
"62","CHGB"
"63","SLC38A4"
"64","KCTD12"
"65","TMEM176A"
"66","CD99L2"
"67","PTPRN2"
"68","PDE3B"
"69","PTPRT"
"70","ENPP2"
"71","RGS4"
"72","ARX"
"73","CRYBA2"
"74","KIAA1324"
"75","FSTL5"
"76","LOXL4"
"77","PDK3"
"78","ELL2"
"79","GPX3"
"80","TMEM236"
"81","LOC100216479"
"82","MOB1B"
"83","FEV"
"84","TUSC3"
"85","CNTN1"
"86","HIGD1A"
"87","ADCY1"
"88","F10"
"89","KIAA1244"
"90","GCNT1"
"91","GCH1"
"92","FXYD6"
"93","CPE"
"94","DPP4"
"95","SCG2"
"96","RFX6"
"97","POPDC3"
"98","MAFB"
"99","SSX2IP"
"100","SPOCK3"
"101","SYT13"
"102","MAFA"
"103","INS"
"104","HADH"
"105","ADCYAP1"
"106","PFKFB2"
"107","PDX1"
"108","RRAGD"
"109","ERO1LB"
"110","SORL1"
"111","SCD5"
"112","SCD"
"113","UCHL1"
"114","SCGN"
"115","TGFBR3"
"116","NPTX2"
"117","MEG3"
"118","ABCC8"
"119","FAM105A"
"120","MAPT"
"121","LOC154761"
"122","STXBP1"
"123","ROBO2"
"124","ENO2"
"125","ATP2A3"
"126","SREBF1"
"127","PRUNE2"
"128","RAPH1"
"129","SYT7"
"130","WSCD2"
"131","ENTPD3"
"132","ITPR3"
"133","TFCP2L1"
"134","PTPN3"
"135","LINC00263"
"136","PLCXD3"
"137","SMAD9"
"138","ATRNL1"
"139","EDARADD"
"140","SUSD4"
"141","CASR"
"142","PLCB4"
"143","PIR"
"144","CYP2U1"
"145","ROBO1"
"146","GNPDA1"
"147","FAM222A"
"148","PPM1E"
"149","KIF5C"
"150","CPD"
"151","LEPR"
"152","HHEX"
"153","BCHE"
"154","TENM3"
"155","GHSR"
"156","CBLN4"
"157","GABRB3"
"158","AMIGO2"
"159","PCSK1"
"160","FHOD3"
"161","LOC728392"
"162","LPHN2"
"163","RBP4"
"164","GABRG2"
"165","KCNT2"
"166","DIRAS3"
"167","PSIP1"
"168","DPYSL3"
"169","ERBB4"
"170","PCP4"
"171","LRFN5"
"172","FRZB"
"173","ISL1"
"174","HAP1"
"175","KCTD8"
"176","NDRG4"
"177","RGS2"
"178","PRG4"
"179","FGF14"
"180","MS4A8B"
"181","TPD52"
"182","SLC17A6"
"183","SAMD5"
"184","HEPACAM2"
"185","MRAP2"
"186","ANK1"
"187","PRKACB"
"188","TPPP3"
"189","CALB1"
"190","LRCH2"
"191","DHRS2"
"192","BAMBI"
"193","CADM1"
"194","CABP7"
"195","AGTR1"
"196","CDHR3"
"197","CNGA3"
"198","HTATSF1"
"199","PKDCC"
"200","ANXA2"
"201","ANXA4"
"202","CFTR"
"203","SLC4A4"
"204","LAD1"
"205","NDUFA4"
"206","SERPING1"
"207","ANXA2P2"
"208","CAV2"
"209","SEL1L3"
"210","LITAF"
"211","ANXA3"
"212","CLDN10"
"213","ATP1A1"
"214","CLDN1"
"215","ONECUT2"
"216","KRT8"
"217","FLRT2"
"218","KRT19"
"219","CTSH"
"220","SERPINA5"
"221","RHPN2"
"222","TINAGL1"
"223","CMTM7"
"224","PROM1"
"225","S100A11"
"226","DEFB1"
"227","S100A10"
"228","VTCN1"
"229","KRT7"
"230","DCDC2"
"231","KIAA1522"
"232","HNMT"
"233","SPTBN1"
"234","KRT18"
"235","AKAP7"
"236","SEMA6A"
"237","SPP1"
"238","TGFA"
"239","SCNN1A"
"240","TMSB4X"
"241","CDC42EP1"
"242","NDRG2"
"243","PIK3AP1"
"244","CD44"
"245","ALDH3A2"
"246","GOLM1"
"247","ALDH1A3"
"248","ATP11A"
"249","PPAP2C"
"250","FLT1"
"251","TCF4"
"252","LOC100505495"
"253","SHANK3"
"254","ETS1"
"255","PODXL"
"256","ARHGAP31"
"257","PPAP2B"
"258","FAM198B"
"259","FSCN1"
"260","PNP"
"261","SMAD6"
"262","TMEM173"
"263","FZD4"
"264","BDKRB2"
"265","NRP2"
"266","PDGFB"
"267","PRDM1"
"268","ITGA5"
"269","PLEKHG1"
"270","PASK"
"271","THBS1"
"272","FAM43A"
"273","BMPR2"
"274","PDE2A"
"275","ACE"
"276","RAMP2"
"277","HTRA1"
"278","JAG1"
"279","ADAMTS4"
"280","EMP1"
"281","ANGPTL2"
"282","NQO1"
"283","SNAI1"
"284","NRP1"
"285","SPRY4"
"286","HEY1"
"287","PLEKHO1"
"288","LRRC8C"
"289","RAPGEF4"
"290","GNG11"
"291","MEF2C"
"292","DOCK4"
"293","RASGRP3"
"294","SEC14L1"
"295","TP53I11"
"296","ELK3"
"297","FKBP1A"
"298","EPAS1"
"299","SGK1"
"300","PPY"
"301","ETV1"
"302","SERTM1"
"303","SLITRK6"
"304","SLC6A4"
"305","GPC5-AS1"
"306","THSD7A"
"307","ENTPD2"
"308","MEIS2"
"309","CHN2"
"310","CARD11"
"311","ABCC9"
"312","CHRM3"
"313","PTGFR"
"314","ID2"
"315","PAX6"
"316","MEIS1"
"317","FGFR1"
"318","INPP5F"
"319","FGD4"
"320","ID4"
"321","TMEM47"
"322","ITM2C"
"323","AQP3"
"324","MDFIC"
"325","AHRR"
"326","CXXC4"
"327","STMN2"
"328","SEMA3E"
"329","CACNA1A"
"330","SLC8A3"
"331","ZNF503"
"332","PTP4A3"
"333","APOBEC2"
"334","EGR3"
"335","ACSL6"
"336","KCNG1"
"337","BCYRN1"
"338","C16orf45"
"339","BTG2"
"340","PCSK1N"
"341","LMO3"
"342","SCN2A"
"343","GLT8D2"
"344","PXK"
"345","FAM69B"
"346","COL6A3"
"347","COL1A1"
"348","COL1A2"
"349","COL5A1"
"350","COL5A2"
"351","CDH11"
"352","PDGFRB"
"353","SERPINH1"
"354","NOTCH3"
"355","LTBP2"
"356","MRC2"
"357","FBN1"
"358","SPARC"
"359","COL3A1"
"360","COL5A3"
"361","CALD1"
"362","LOXL2"
"363","FN1"
"364","COL6A2"
"365","THBS2"
"366","LGALS1"
"367","COL6A1"
"368","LUM"
"369","PRRX1"
"370","SRPX2"
"371","SNAI2"
"372","NID1"
"373","GPX8"
"374","BGN"
"375","COL4A1"
"376","GFPT2"
"377","SLC1A5"
"378","CALU"
"379","COL15A1"
"380","VCAN"
"381","COL4A2"
"382","PXDN"
"383","MICAL2"
"384","LAMA2"
"385","ANTXR1"
"386","WNT5A"
"387","BMP8A"
"388","COL12A1"
"389","LTBP1"
"390","BASP1"
"391","HEYL"
"392","TIMP1"
"393","TNFAIP6"
"394","FMOD"
"395","TGFB1I1"
