"","x"
"1","PPY"
"2","SST"
"3","GCG"
"4","REG1A"
"5","REG3A"
"6","TTR"
"7","REG1B"
"8","IAPP"
"9","COL1A1"
"10","CTRB2"
"11","CEL"
"12","CPB1"
"13","PRSS1"
"14","OLFM4"
"15","CPA1"
"16","RBP4"
"17","PNLIP"
"18","CELA3A"
"19","SERPINB2"
"20","SPINK1"
"21","CLPS"
"22","INS"
"23","COL3A1"
"24","MALAT1"
"25","COL1A2"
"26","AMY2A"
"27","SPARC"
"28","CTRB1"
"29","PRSS3P2"
"30","SPP1"
"31","TIMP3"
"32","GNAS"
"33","SERPINA3"
"34","H19"
"35","GP2"
"36","PLA2G1B"
"37","FN1"
"38","ALB"
"39","CCL20"
"40","FLT1"
"41","MTRNR2L8"
"42","TIMP1"
"43","CHGB"
"44","FTH1"
"45","IFI30"
"46","LYZ"
"47","SERPINE1"
"48","CRP"
"49","IGFBP5"
"50","CPA2"
"51","MMP7"
"52","CELA2A"
"53","TGFBI"
"54","FTL"
"55","PNLIPRP2"
"56","CHGA"
"57","RSAD2"
"58","CD74"
"59","FGG"
"60","ALDOB"
"61","DUOX2"
"62","CEACAM6"
"63","VGF"
"64","PRG4"
"65","COL6A3"
"66","CD24"
"67","CELA3B"
"68","HSPA1A"
"69","SFRP2"
"70","MTRNR2L1"
"71","CXCL1"
"72","GDF15"
"73","COL4A1"
"74","PEG10"
"75","COL6A1"
"76","TSPAN8"
"77","COL4A2"
"78","SCG2"
"79","ANXA4"
"80","CXCL6"
"81","CALCB"
"82","CTRC"
"83","CFB"
"84","GPNMB"
"85","IL8"
"86","GSTA1"
"87","CFTR"
"88","COL15A1"
"89","IGFBP7"
"90","MTRNR2L2"
"91","FGB"
"92","PLAT"
"93","ANXA2"
"94","ALDH1A1"
"95","SAT1"
"96","AKR1B10"
"97","TMSB4X"
"98","THBS1"
"99","PCSK1"
"100","CEACAM5"
"101","IL11"
"102","IGFBP3"
"103","GSTA2"
"104","COL5A1"
"105","SPON2"
"106","PCK1"
"107","PDK4"
"108","CD44"
"109","TM4SF4"
"110","TACSTD2"
"111","ADH1C"
"112","PCSK2"
"113","PASK"
"114","CCL2"
"115","STC1"
"116","CEACAM7"
"117","DKK3"
"118","CYP1A1"
"119","HLA-DRA"
"120","MS4A7"
"121","AQP1"
"122","CRYAB"
"123","TNFAIP2"
"124","CXCL2"
"125","CRLF1"
"126","CPE"
"127","B2M"
"128","GC"
"129","HMOX1"
"130","CYGB"
"131","PXDN"
"132","INHBA"
"133","SERPINA1"
"134","SOX4"
"135","AQP3"
"136","GREM1"
"137","PLAU"
"138","CALD1"
"139","RNASE1"
"140","KRT19"
"141","VIM"
"142","DLK1"
"143","LIF"
"144","G6PC2"
"145","PLCE1"
"146","NPTX2"
"147","AKR1C2"
"148","SOD2"
"149","HLA-B"
"150","HSPA5"
"151","CXCL3"
"152","COL5A2"
"153","HSP90AA1"
"154","ACTG1"
"155","ALDH1A3"
"156","MT1G"
"157","CDKN1C"
"158","UGT2B15"
"159","CTGF"
"160","KRT7"
"161","HTRA1"
"162","PPAP2B"
"163","PDGFRB"
"164","HSPB1"
"165","S100A6"
"166","ANGPT2"
"167","HLA-DPA1"
"168","CYP1B1"
"169","ACTA2"
"170","ISLR"
"171","THBD"
"172","APCS"
"173","KRT18"
"174","REG3G"
"175","IFITM3"
"176","PIGR"
"177","PRSS3"
"178","IGFBP4"
"179","LOXL4"
"180","CTSS"
"181","PNLIPRP1"
"182","PAPPA"
"183","ID1"
"184","ONECUT2"
"185","LUM"
"186","PODXL"
"187","TCN1"
"188","PMEPA1"
"189","COL6A2"
"190","SCG5"
"191","BGN"
"192","VCAN"
"193","EEF1A1"
"194","SLC30A8"
"195","SGK1"
"196","TM4SF1"
"197","SLC4A4"
"198","DCN"
"199","COL5A3"
"200","HLA-DRB1"
"201","C5AR1"
"202","CTSL1"
"203","ACTB"
"204","NPY"
"205","MUC13"
"206","CTSB"
"207","ZFP36L1"
"208","TFPI2"
"209","SQSTM1"
"210","RGS4"
"211","C10orf10"
"212","MT2A"
"213","ITGB8"
"214","AKR1C1"
"215","RGS2"
"216","CLDN2"
"217","LGALS4"
"218","CHI3L1"
"219","C3"
"220","SLC7A11"
"221","CLU"
"222","C11orf96"
"223","CTSD"
"224","KLHL41"
"225","ID2"
"226","ABCC8"
"227","HLA-DQB1"
"228","TUBA1A"
"229","TPM1"
"230","ERCC-00074"
"231","CDKN1A"
"232","ERCC-00130"
"233","SCGN"
"234","UBD"
"235","AGT"
"236","ARHGDIB"
"237","KRT8"
"238","PDGFB"
"239","PAM"
"240","SRXN1"
"241","MCAM"
"242","DNAJB1"
"243","A2M"
"244","WNT5A"
"245","SERPINH1"
"246","AMY2B"
"247","LGALS1"
"248","HSPA1B"
"249","BCAT1"
"250","IER3"
"251","THBS2"
"252","FGL1"
"253","CYR61"
"254","KANK4"
"255","SERPINI2"
"256","SEC11C"
"257","CELA2B"
"258","MGST1"
"259","SNAI2"
"260","NEUROD1"
"261","LCN2"
"262","DEFB1"
"263","HADH"
"264","EMP1"
"265","HLA-DMB"
"266","HSPH1"
"267","PAX6"
"268","C15orf48"
"269","LAMA4"
"270","NEAT1"
"271","PRDM1"
"272","MICAL2"
"273","CA12"
"274","G0S2"
"275","ANPEP"
"276","AKR1C3"
"277","LOXL2"
"278","BIRC3"
"279","SLC7A2"
"280","MAFB"
"281","MAFA"
"282","SERPINA5"
"283","CRISPLD2"
"284","SMAD6"
"285","CRYBA2"
"286","CLDN1"
"287","ADM"
"288","S100B"
"289","CD59"
"290","LTBP2"
"291","LTB"
"292","SLPI"
"293","KCTD12"
"294","SDC4"
"295","MUC1"
"296","SCD"
"297","APCDD1"
"298","ARRDC4"
"299","LGALS2"
"300","SULF1"
"301","KLK1"
"302","NFKBIA"
"303","TPM4"
"304","KLF6"
"305","MMP11"
"306","S100A11"
"307","UCHL1"
"308","RAC2"
"309","ERO1LB"
"310","FABP5"
"311","SERPING1"
"312","MYH9"
"313","CXCL17"
"314","UACA"
"315","ITGA1"
"316","TIMP2"
"317","CPA4"
"318","HSD17B2"
"319","KRT23"
"320","PTGR1"
"321","ITGA5"
"322","CD36"
"323","KIAA1244"
"324","FSTL1"
"325","ID3"
"326","LAMC2"
"327","CXCL12"
"328","UNC5B"
"329","C6orf222"
"330","GATM"
"331","NID1"
"332","FRZB"
"333","PTMA"
"334","MEG3"
"335","HSP90B1"
"336","PMP22"
"337","PDLIM3"
"338","TPT1"
"339","BEX1"
"340","ADAMTS9"
"341","BDKRB2"
"342","ITGB1"
"343","ANXA1"
"344","MAP1B"
"345","TNFRSF11B"
"346","NRP2"
"347","ATP1A1"
"348","FAM159B"
"349","TCF4"
"350","COL12A1"
"351","NQO1"
"352","IFITM2"
"353","TMEM176B"
"354","CAV1"
"355","BCYRN1"
"356","HEYL"
"357","CREB5"
"358","MXRA5"
"359","FMOD"
"360","FAP"
"361","CTSE"
"362","GPX2"
"363","PDX1"
"364","HES1"
"365","NREP"
"366","RGS5"
"367","PCDH7"
"368","AHNAK"
"369","SYT13"
"370","ATP1B1"
"371","RASD1"
"372","NOTCH3"
"373","ITGA2"
"374","TNFAIP6"
"375","FILIP1L"
"376","SCD5"
"377","THY1"
"378","TPPP3"
"379","PRSS23"
"380","EGR1"
"381","LIPA"
"382","RCAN1"
"383","IL32"
"384","RPL10"
"385","VTCN1"
"386","EPAS1"
"387","BACE2"
"388","SPTBN1"
"389","MYL12B"
"390","FAM84A"
"391","PLXDC1"
"392","CAV2"
"393","UCA1"
"394","NAMPT"
"395","EDN1"
"396","SCARA3"
"397","MIR7-3HG"
"398","PCSK1N"
"399","TXNRD1"
"400","GAD2"
"401","EDNRA"
"402","ADAMTS1"
"403","STOM"
"404","PDZK1IP1"
"405","LEPR"
"406","HLA-A"
"407","GADD45B"
"408","TMC5"
"409","AMBP"
"410","FAM198B"
"411","MUC20"
"412","INSM1"
"413","ISL1"
"414","VCAM1"
"415","PPP1R1A"
"416","FSCN1"
"417","LITAF"
"418","PLIN2"
"419","GLS"
"420","KCNE4"
"421","FLRT2"
"422","MEIS2"
"423","TGM2"
"424","SIX3"
"425","MYLK"
"426","SPINT2"
"427","VEGFA"
"428","TTN"
"429","ERCC-00004"
"430","CD9"
"431","PHLDA1"
"432","ERCC-00002"
"433","TGFB3"
"434","SNAI1"
"435","NAA20"
"436","TXNIP"
"437","MRC2"
"438","ADCYAP1"
"439","PFKFB2"
"440","ETS1"
"441","CTSH"
"442","FGF2"
"443","SORL1"
"444","RPS12"
"445","PTPRN"
"446","HLA-C"
"447","SFRP5"
"448","ERCC-00096"
"449","FTH1P3"
"450","ENPP2"
"451","SYNE2"
"452","IDS"
"453","KLF9"
"454","C1S"
"455","SLC18A2"
"456","AOX1"
"457","LGALS9"
"458","MYL12A"
"459","NRP1"
"460","DDIT3"
"461","ARL4C"
"462","GCNT3"
"463","UGDH"
"464","TMEM97"
"465","TBX3"
"466","CLDN10"
"467","AKAP12"
"468","ELF3"
"469","TUBA1B"
"470","SURF4"
"471","S1PR3"
"472","CDH11"
"473","EDN3"
"474","SEL1L3"
"475","CTHRC1"
"476","FBN1"
"477","COL18A1"
"478","ACE"
"479","ALDH3A2"
"480","HTRA3"
"481","SERPINF1"
"482","TGFBR3"
"483","LAMB3"
"484","XBP1"
"485","AEBP1"
"486","BTG2"
"487","KRT80"
"488","SERTM1"
"489","S100A10"
"490","LTBP1"
"491","FOS"
"492","RPL41"
"493","HBEGF"
"494","HSPA8"
"495","RPS6"
"496","RAB11FIP1"
"497","CTSC"
"498","LDHA"
"499","ANXA2P2"
"500","KCNQ1OT1"
