"","x"
"1","CPA2"
"2","CTRC"
"3","GSTA2"
"4","KLK1"
"5","CELA2A"
"6","PRSS3P2"
"7","ALB"
"8","PRSS3"
"9","CTRB1"
"10","ALDOB"
"11","ANPEP"
"12","BCAT1"
"13","PNLIPRP2"
"14","CEL"
"15","LGALS2"
"16","MXRA5"
"17","IL32"
"18","B3GNT7"
"19","MUC1"
"20","GSTA1"
"21","MGST1"
"22","RNASE1"
"23","PLA2G1B"
"24","PNLIPRP1"
"25","FAM129A"
"26","CELA3A"
"27","PNLIP"
"28","AKR1C3"
"29","ATP10B"
"30","CXCL17"
"31","AOX1"
"32","GATM"
"33","CPA1"
"34","TC2N"
"35","MECOM"
"36","ERP27"
"37","CELA2B"
"38","PRSS1"
"39","CPE"
"40","TMEM97"
"41","CBS"
"42","REG3G"
"43","CELA3B"
"44","PDZK1IP1"
"45","TRIB2"
"46","CAMK2N1"
"47","MAP1B"
"48","TMC5"
"49","CFB"
"50","TPST2"
"51","FAP"
"52","IRX2"
"53","LOXL4"
"54","CRYBA2"
"55","ARX"
"56","GC"
"57","SLC38A4"
"58","FEV"
"59","TIMP2"
"60","PLCE1"
"61","RGS4"
"62","SYNE2"
"63","TM4SF4"
"64","KCTD12"
"65","KLHL41"
"66","FABP5"
"67","CD99L2"
"68","TMEM176A"
"69","PDE3B"
"70","PTPRT"
"71","GPX3"
"72","MUC13"
"73","PDK3"
"74","SERPINE2"
"75","TMEM236"
"76","SCD5"
"77","FXYD6"
"78","SLC22A17"
"79","ARRDC4"
"80","FSTL5"
"81","PPP1R1A"
"82","PRSS23"
"83","ENPP2"
"84","SSX2IP"
"85","PCDH17"
"86","LOC100216479"
"87","ADCY1"
"88","KIAA1377"
"89","CFC1"
"90","CNIH2"
"91","HADH"
"92","TMEM176B"
"93","GCNT1"
"94","RFX6"
"95","CNTN1"
"96","FAM84A"
"97","VGF"
"98","MAFB"
"99","SMOC1"
"100","PTPRN2"
"101","MAFA"
"102","ADCYAP1"
"103","NPTX2"
"104","PFKFB2"
"105","TGFBR3"
"106","INS"
"107","PDX1"
"108","MEG3"
"109","MAPT"
"110","DLK1"
"111","LDHA"
"112","ENTPD3"
"113","CASR"
"114","PCSK1"
"115","LINC00263"
"116","SYT13"
"117","ROBO2"
"118","LOC154761"
"119","FAM105A"
"120","SMAD9"
"121","PCDH7"
"122","ATP2A3"
"123","RAPH1"
"124","PRUNE2"
"125","PVRL3"
"126","SIPA1L2"
"127","SUSD4"
"128","GLIS3"
"129","MNX1"
"130","ITPR3"
"131","WSCD2"
"132","PLCB4"
"133","PIR"
"134","PTPN3"
"135","RRAGD"
"136","SORL1"
"137","ROBO1"
"138","EDARADD"
"139","ATRNL1"
"140","PPM1E"
"141","EXPH5"
"142","CYP2U1"
"143","SREBF1"
"144","TFCP2L1"
"145","RASGRF1"
"146","SLC6A17"
"147","CHL1"
"148","LEPR"
"149","BCHE"
"150","HHEX"
"151","PRG4"
"152","FRZB"
"153","AMIGO2"
"154","DPYSL3"
"155","GABRG2"
"156","GHSR"
"157","LPHN2"
"158","UNC5B"
"159","LAPTM4B"
"160","FHOD3"
"161","CBLN4"
"162","TENM3"
"163","DIRAS3"
"164","FFAR4"
"165","KCNT2"
"166","HAP1"
"167","ERBB4"
"168","CABP7"
"169","CALB1"
"170","KCTD8"
"171","NDRG4"
"172","SLC17A6"
"173","FGF14"
"174","AQP3"
"175","PSIP1"
"176","MRAP2"
"177","AKAP12"
"178","RBP4"
"179","SAMD5"
"180","DHRS2"
"181","C12orf75"
"182","PCP4"
"183","PDLIM4"
"184","ANK1"
"185","PKDCC"
"186","PKIB"
"187","RGS2"
"188","LRCH2"
"189","MS4A8B"
"190","BAMBI"
"191","LRFN5"
"192","MEST"
"193","ANK3"
"194","ANXA2"
"195","CFTR"
"196","ALDH1A3"
"197","AQP1"
"198","DEFB1"
"199","ANXA3"
"200","SERPING1"
"201","TINAGL1"
"202","KRT19"
"203","TSPAN8"
"204","VTCN1"
"205","SERPINA5"
"206","SCNN1A"
"207","CTSH"
"208","CLDN10"
"209","CLDN1"
"210","LAD1"
"211","SPP1"
"212","MMP7"
"213","LGALS4"
"214","PMEPA1"
"215","APCDD1"
"216","AKAP7"
"217","SLC4A4"
"218","NDRG2"
"219","TFPI2"
"220","DCDC2"
"221","PROM1"
"222","CEACAM7"
"223","CMTM7"
"224","LAMC2"
"225","FLRT2"
"226","RHPN2"
"227","AHNAK"
"228","KRT7"
"229","HSD17B2"
"230","PAM"
"231","MUC20"
"232","SLC7A2"
"233","KRT23"
"234","PIK3AP1"
"235","WWTR1"
"236","CAV2"
"237","ANXA2P2"
"238","LITAF"
"239","HSPB8"
"240","S100A14"
"241","SCG5"
"242","KRT80"
"243","ABCC3"
"244","ONECUT2"
"245","LOC100505495"
"246","FLT1"
"247","ARHGAP31"
"248","RAMP2"
"249","PLEKHG1"
"250","PASK"
"251","SMAD6"
"252","ACE"
"253","FAM43A"
"254","FZD4"
"255","LRRC8C"
"256","TMEM173"
"257","NRP2"
"258","PRDM1"
"259","MEF2C"
"260","PDE2A"
"261","ANGPT2"
"262","ANGPTL2"
"263","ELK3"
"264","HEY1"
"265","PODXL"
