"","x"
"1","AADAC"
"2","ADH1C"
"3","AKR1C1"
"4","AKR1C2"
"5","AKR7A3"
"6","ALB"
"7","ALDOB"
"8","AMY2B"
"9","ANKDD1A"
"10","ANPEP"
"11","AOX1"
"12","BCAT1"
"13","C11orf93"
"14","C15orf48"
"15","C3"
"16","C6orf222"
"17","CA12"
"18","CATSPERB"
"19","CELA2A"
"20","CELA3A"
"21","CELA3B"
"22","CEL"
"23","CFB"
"24","CLPS"
"25","CPA1"
"26","CPA2"
"27","CPA4"
"28","CPB1"
"29","CTRB2"
"30","CTRC"
"31","CTRL"
"32","CXCL17"
"33","DUOX2"
"34","EGF"
"35","ERP27"
"36","FGG"
"37","FGL1"
"38","FKBP9L"
"39","GATA4"
"40","GP2"
"41","GSTA1"
"42","GSTA2"
"43","IL32"
"44","KLK1"
"45","LGALS2"
"46","LTB"
"47","LYZ"
"48","MT1G"
"49","NRG4"
"50","OLFM4"
"51","ABCG2"
"52","ADAMTS18"
"53","ADCY2"
"54","ADORA2A"
"55","ANK2"
"56","ANXA4"
"57","ARRDC4"
"58","BTBD11"
"59","C5orf38"
"60","CRTAC1"
"61","CRYBA2"
"62","CRYM"
"63","DPP4"
"64","EPHA4"
"65","F13A1"
"66","FAM84A"
"67","FSTL5"
"68","GC"
"69","GJA3"
"70","GLS"
"71","GLT1D1"
"72","GPER"
"73","GPR64"
"74","HMGB3"
"75","IGFBP5"
"76","IGFBP7"
"77","IRX1"
"78","IRX2"
"79","ITGB8"
"80","KCNC1"
"81","KLHL41"
"82","LGI2"
"83","LOXL4"
"84","LPPR1"
"85","LPPR5"
"86","MRC1"
"87","PAPPA2"
"88","PLCE1"
"89","POPDC3"
"90","PRSS3"
"91","PTGER3"
"92","PTPRT"
"93","PYROXD2"
"94","RGS4"
"95","S100Z"
"96","SERPINI1"
"97","SLC38A4"
"98","SPOCK3"
"99","STK32B"
"100","TIMP1"
"101","ACPP"
"102","ADCYAP1"
"103","ADM"
"104","ANKRD23"
"105","APCDD1L-AS1"
"106","APCDD1L"
"107","ARG2"
"108","ASB9"
"109","BMP5"
"110","BPIFC"
"111","C1orf127"
"112","CAPN13"
"113","CDH22"
"114","CHL1"
"115","DGCR5"
"116","DLK1"
"117","ENTPD3"
"118","EXPH5"
"119","FAM107A"
"120","FAM115C"
"121","FAM159B"
"122","GREM2"
"123","GRIN2A"
"124","HHATL"
"125","IAPP"
"126","IGSF11"
"127","INS"
"128","KCNG3"
"129","KIAA1211"
"130","KIRREL3"
"131","LINC00839"
"132","LOC154761"
"133","LRFN2"
"134","LRRTM3"
"135","MAFA"
"136","NPTX2"
"137","NTN1"
"138","PCDH7"
"139","PDX1"
"140","PEX5L"
"141","PFKFB2"
"142","PLCH2"
"143","PPM1E"
"144","PRPH"
"145","SAMD11"
"146","SIX2"
"147","SIX3"
"148","SLC25A34"
"149","SLC2A2"
"150","SMAD9"
"151","AMIGO2"
"152","ANK1"
"153","BCHE"
"154","CBLN4"
"155","CDHR3"
"156","ECEL1"
"157","ERBB4"
"158","FHOD3"
"159","FRZB"
"160","GABRG2"
"161","GHSR"
"162","HAP1"
"163","HHEX"
"164","KCNT2"
"165","LEPR"
"166","LRFN5"
"167","PRG4"
"168","RGS2"
"169","SLC17A6"
"170","DSCR6"
"171","DAPL1"
"172","MYRIP"
"173","LRRN2"
"174","ASB4"
"175","BAALC"
"176","TPPP3"
"177","CCDC85A"
"178","KCTD8"
"179","RXRG"
"180","RTP4"
"181","MS4A8B"
"182","SLC9A9"
"183","NRXN3"
"184","CNTN5"
"185","CNGA3"
"186","PCSK1"
"187","LOC150622"
"188","AGTR1"
"189","MRAP2"
"190","COL6A1"
"191","PKDCC"
"192","RBP4"
"193","SFRP1"
"194","CCKBR"
"195","SFXN5"
"196","AQP3"
"197","B3GAT1"
"198","PDE11A"
"199","PAIP2B"
"200","ROR2"
"201","ABCC4"
"202","ACSS1"
"203","AIM1"
"204","AJAP1"
"205","AKAP7"
"206","ALDH1A3"
"207","AMBP"
"208","ANXA1"
"209","ANXA3"
"210","ANXA9"
"211","APBB1IP"
"212","APCDD1"
"213","APCS"
"214","APOBEC3C"
"215","AQP1"
"216","ARHGDIB"
"217","ATP13A4"
"218","ATP1A1"
"219","B3GNT3"
"220","BAAT"
"221","BICC1"
"222","BLNK"
"223","BMP4"
"224","C4BPA"
"225","C6"
"226","CA2"
"227","CAPG"
"228","CAPN6"
"229","CCL2"
"230","CD68"
"231","CD74"
"232","CD84"
"233","CDH6"
"234","CDX2"
"235","CEACAM6"
"236","CEACAM7"
"237","CFTR"
"238","CHI3L1"
"239","CLDN10"
"240","CLDN1"
"241","CLDN2"
"242","CRP"
"243","CRYAB"
"244","CTGF"
"245","CTSD"
"246","CTSE"
"247","CTSH"
"248","CTSS"
"249","CX3CL1"
"250","CXCL6"
"251","ACE"
"252","ADAMTS4"
"253","ANGPT2"
"254","BDKRB2"
"255","CXCL12"
"256","FAM198B"
"257","FAM43A"
"258","FLT1"
"259","HEY1"
"260","IFITM1"
"261","JAG1"
"262","LOC100505495"
"263","NRP2"
"264","PASK"
"265","PDGFB"
"266","PLEKHG1"
"267","PODXL"
"268","PPAP2B"
"269","RAMP2"
"270","SMAD6"
"271","TGFBR2"
"272","THBD"
"273","TP53I11"
"274","ARHGAP31"
"275","SGK1"
"276","GPR146"
"277","CSRP2"
"278","THBS1"
"279","ITPKB"
"280","TMEM173"
"281","PRDM1"
"282","SPRY4"
"283","PNP"
"284","FSCN1"
"285","PDE2A"
"286","MEF2C"
"287","FZD4"
"288","MCAM"
"289","UPP1"
"290","ELK3"
"291","KIAA1147"
"292","SOX7"
"293","SHANK3"
"294","GIMAP1"
"295","CD36"
"296","SYCP2"
"297","MSX1"
"298","EMP1"
"299","FAM101B"
"300","PLEKHO1"
"301","FGB"
"302","KCNG1"
"303","PPY"
"304","PTGFR"
"305","SERTM1"
"306","SLITRK6"
"307","GPC5-AS1"
"308","LMO3"
"309","EGR3"
"310","ENTPD2"
"311","CHN2"
"312","CARD11"
"313","EGR2"
"314","SLC8A3"
"315","DDC"
"316","CACNA2D3"
"317","CALB1"
"318","CHRM3"
"319","SLC6A4"
"320","AHRR"
"321","ETV1"
"322","IL20RA"
"323","VIPR1"
"324","LOC389332"
"325","PCDH9"
"326","LOC441204"
"327","SCN2A"
"328","BCYRN1"
"329","MEIS1"
"330","KIAA1614"
"331","THSD7A"
"332","IL17RB"
"333","SGIP1"
"334","MDFIC"
"335","SYT16"
"336","CSGALNACT1"
"337","TMEM86B"
"338","ID2"
"339","PXK"
"340","FOXP2"
"341","NAGS"
"342","NHSL1"
"343","MAPK8IP2"
"344","PLEKHG4B"
"345","IBA57"
"346","ARSJ"
"347","GPLD1"
"348","ACSL6"
"349","ACTA2"
"350","AEBP1"
"351","AFAP1L2"
"352","ANTXR1"
"353","BGN"
"354","BMP8A"
"355","CALD1"
"356","CCDC102B"
"357","CCDC80"
"358","CDH11"
"359","COL12A1"
"360","COL16A1"
"361","COL18A1"
"362","COL1A1"
"363","COL1A2"
"364","COL3A1"
"365","COL5A1"
"366","COL5A2"
"367","COL5A3"
"368","COL6A2"
"369","COL6A3"
"370","CRISPLD2"
"371","CTHRC1"
"372","CTSK"
"373","CYGB"
"374","DACT1"
"375","DCN"
"376","DDR2"
"377","EBF1"
"378","EDNRA"
"379","FBN1"
"380","FGF2"
"381","FJX1"
"382","FKBP10"
"383","FMOD"
"384","FN1"
"385","GFPT2"
"386","GREM1"
"387","HEYL"
"388","HTRA3"
"389","IL11"
"390","INHBA"
"391","ISLR"
"392","KANK4"
"393","LAMA2"
"394","LHFP"
"395","LIF"
"396","LINC00152"
