"","x"
"1","COL1A1"
"2","COL1A2"
"3","COL3A1"
"4","PPY"
"5","SPARC"
"6","FN1"
"7","PNLIP"
"8","PRSS1"
"9","CELA3A"
"10","CPB1"
"11","COL6A3"
"12","SERPINE1"
"13","SPP1"
"14","CTRB1"
"15","CPA1"
"16","PRSS3P2"
"17","OLFM4"
"18","CRP"
"19","PNLIPRP2"
"20","PLA2G1B"
"21","CTRB2"
"22","CLPS"
"23","CPA2"
"24","COL4A1"
"25","ALB"
"26","CEL"
"27","REG3A"
"28","ALDOB"
"29","COL6A1"
"30","MMP7"
"31","COL4A2"
"32","GP2"
"33","REG1B"
"34","SFRP2"
"35","COL15A1"
"36","IAPP"
"37","COL5A1"
"38","AMY2A"
"39","CTRC"
"40","DUOX2"
"41","LYZ"
"42","TIMP1"
"43","RBP4"
"44","FLT1"
"45","IL8"
"46","CELA2A"
"47","PRG4"
"48","SPINK1"
"49","CXCL1"
"50","AKR1B10"
"51","IGFBP5"
"52","CELA3B"
"53","ADH1C"
"54","CEACAM6"
"55","TSPAN8"
"56","CD74"
"57","AQP1"
"58","CCL2"
"59","SERPINA3"
"60","PXDN"
"61","CFTR"
"62","CEACAM7"
"63","GSTA2"
"64","TIMP3"
"65","THBS1"
"66","GSTA1"
"67","COL5A2"
"68","CYGB"
"69","IL11"
"70","DLK1"
"71","CCL20"
"72","GDF15"
"73","CXCL2"
"74","SPON2"
"75","PDGFRB"
"76","SERPINB2"
"77","ALDH1A3"
"78","IFI30"
"79","KRT19"
"80","INHBA"
"81","CFB"
"82","CYP1A1"
"83","HTRA1"
"84","LUM"
"85","AKR1C2"
"86","UGT2B15"
"87","GREM1"
"88","REG1A"
"89","CYP1B1"
"90","TGFBI"
"91","PNLIPRP1"
"92","BGN"
"93","VCAN"
"94","RNASE1"
"95","INS"
"96","AQP3"
"97","CALD1"
"98","PRSS3"
"99","COL5A3"
"100","CTGF"
"101","H19"
"102","IGFBP4"
"103","TCN1"
"104","CRLF1"
"105","CXCL6"
"106","COL6A2"
"107","APCS"
"108","REG3G"
"109","CRYAB"
"110","SERPINA1"
"111","CLDN2"
"112","ISLR"
"113","CXCL3"
"114","STC1"
"115","PODXL"
"116","DKK3"
"117","LGALS4"
"118","ONECUT2"
"119","PCK1"
"120","PIGR"
