"","x"
"1","CTRB2"
"2","CTRB1"
"3","CPA2"
"4","GSTA2"
"5","PRSS1"
"6","PRSS3P2"
"7","REG1A"
"8","SPINK1"
"9","BCAT1"
"10","DPEP1"
"11","PRSS3"
"12","CTRC"
"13","CXCL17"
"14","MGST1"
"15","ANPEP"
"16","CPA1"
"17","RNASE1"
"18","ALDOB"
"19","REG3A"
"20","REG1B"
"21","PLA2G1B"
"22","RARRES2"
"23","KLK1"
"24","LGALS2"
"25","CPB1"
"26","IL32"
"27","LDHB"
"28","MECOM"
"29","PNLIP"
"30","FAM129A"
"31","ALB"
"32","PDIA2"
"33","PNLIPRP2"
"34","GSTA1"
"35","AZGP1"
"36","CELA2A"
"37","SYCN"
"38","MUC1"
"39","CELA3A"
"40","REG3G"
"41","SERPINA3"
"42","PNLIPRP1"
"43","LYZ"
"44","CELA3B"
"45","GATM"
"46","AKR1C3"
"47","TPST2"
"48","CEL"
"49","MXRA5"
"50","CYB5A"
"51","FAP"
"52","IRX2"
"53","PCSK2"
"54","CRYBA2"
"55","F10"
"56","SLC38A4"
"57","GC"
"58","GPX3"
"59","LOXL4"
"60","TMEM176B"
"61","TM4SF4"
"62","PEMT"
"63","ARX"
"64","GLS"
"65","VGF"
"66","RGS4"
"67","PAPPA2"
"68","POPDC3"
"69","SLC7A2"
"70","CRH"
"71","GPR119"
"72","DPP4"
"73","CHGB"
"74","PLCE1"
"75","SMIM24"
"76","FEV"
"77","PPP1R1A"
"78","EGFEM1P"
"79","SERPINE2"
"80","FXYD3"
"81","TMEM176A"
"82","FSTL5"
"83","KCTD12"
"84","KCNH6"
"85","PTPRT"
"86","MAFB"
"87","GRIA3"
"88","SPOCK3"
"89","CHGA"
"90","KIAA1324"
"91","SLC22A17"
"92","SLC7A8"
"93","IGFBP2"
"94","FXYD6"
"95","SCG2"
"96","ELL2"
"97","MIR6887"
"98","PDE3B"
"99","CD99L2"
"100","SPTSSB"
"101","INS"
"102","IAPP"
"103","ADCYAP1"
"104","HADH"
"105","MAFA"
"106","PFKFB2"
"107","NPTX2"
"108","PCSK1"
"109","MEG3"
"110","CYYR1"
"111","UCHL1"
"112","G6PC2"
"113","SAMD11"
"114","C1orf127"
"115","WSCD2"
"116","SYT13"
"117","SCG3"
"118","ERO1LB"
"119","SCGN"
"120","GAD2"
"121","ABCC8"
"122","PDX1"
"123","FAM159B"
"124","SORL1"
"125","CADM1"
"126","BMP5"
"127","CASR"
"128","SCD5"
"129","RBP4"
"130","FAM105A"
"131","ELMO1"
"132","SNCB"
"133","TMEM37"
"134","LINC01099"
"135","ENTPD3"
"136","GPM6A"
"137","SSTR5-AS1"
"138","TGFBR3"
"139","SUSD4"
"140","FFAR1"
"141","RNF130"
"142","PKIB"
"143","RASD1"
"144","ENO2"
"145","DLK1"
"146","ATP2A3"
"147","GLP1R"
"148","STXBP1"
"149","TSPAN1"
"150","C14orf132"
"151","SST"
"152","LEPR"
"153","BCHE"
"154","HHEX"
"155","RGS2"
"156","GPC5-AS1"
"157","LRFN5"
"158","FFAR4"
"159","UNC5B"
"160","BAIAP3"
"161","DHRS2"
"162","CBLN4"
"163","TENM3"
"164","LY6H"
"165","GABRB3"
"166","MS4A8"
"167","CABP7"
"168","MAP1B"
"169","EYS"
"170","NSG1"
"171","PCP4"
"172","DPYSL3"
"173","PSIP1"
"174","ANK1"
"175","PIPOX"
"176","EDN3"
"177","SLC38A1"
"178","CALB1"
"179","UCP2"
"180","ST8SIA4"
"181","STXBP5L"
"182","VAT1L"
"183","ERBB4"
"184","CD9"
"185","TPPP3"
"186","ABI3BP"
"187","AMIGO2"
"188","PLAC8"
"189","RXRG"
"190","KRT19"
"191","CFTR"
"192","PPAP2C"
"193","MMP7"
"194","ANXA4"
"195","TINAGL1"
"196","COL18A1"
"197","DEFB1"
"198","TACSTD2"
"199","CLDN1"
"200","KRT7"
"201","SAT1"
"202","SERPINA5"
"203","VTCN1"
"204","S100A14"
"205","CLDN10"
"206","KRT8"
"207","SERPING1"
"208","SDC1"
"209","MUC20"
"210","S100A11"
"211","PRSS8"
"212","ANXA2"
"213","KRT18"
"214","ANXA3"
"215","CD24"
"216","LGALS4"
"217","AQP1"
"218","TRPV6"
"219","ANXA2P2"
"220","CAV2"
"221","PROM1"
"222","CTSH"
"223","NDUFA4"
"224","TSPAN8"
"225","LCN2"
"226","ALDH1A3"
"227","MIR492"
"228","SPP1"
"229","IFITM3"
"230","PMEPA1"
"231","LITAF"
"232","LGALS3"
"233","PDLIM3"
"234","CFB"
"235","SDC4"
"236","TPM1"
"237","HSPB8"
"238","SLC4A4"
"239","LAD1"
"240","CLIC4"
"241","LAMA4"
"242","PRDM1"
"243","GNG11"
"244","SERPINE1"
"245","ENG"
"246","ESAM"
"247","PLVAP"
"248","SPARC"
"249","IFI27"
"250","INSR"
"251","THBS1"
"252","ITGA5"
"253","FMNL3"
"254","PODXL"
"255","PASK"
"256","TMEM173"
"257","TCF4"
"258","IFITM1"
"259","CD36"
"260","ARHGAP18"
"261","PPAP2B"
