"","x"
"1","REG1A"
"2","DPEP1"
"3","BCAT1"
"4","SPINK1"
"5","IL32"
"6","RARRES2"
"7","CTRB2"
"8","ANPEP"
"9","REG1B"
"10","MGST1"
"11","CXCL17"
"12","CPA2"
"13","FAM129A"
"14","KLK1"
"15","PRSS1"
"16","PRSS3P2"
"17","CTRB1"
"18","CYB5A"
"19","PRSS3"
"20","GSTA2"
"21","GATM"
"22","TPST2"
"23","PNLIPRP2"
"24","ITIH4"
"25","C15orf48"
"26","SLC39A5"
"27","PNLIP"
"28","LGALS2"
"29","REG3A"
"30","GSTA1"
"31","PDIA2"
"32","EGF"
"33","GATA4"
"34","PNLIPRP1"
"35","MXRA5"
"36","PLA2G1B"
"37","TC2N"
"38","CTRC"
"39","SLC38A5"
"40","CPA1"
"41","MUC1"
"42","FGL1"
"43","ERP27"
"44","IMPA2"
"45","RNASE1"
"46","TMEM97"
"47","AKR1C3"
"48","CBS"
"49","CELA2A"
"50","CELA3A"
"51","PCSK2"
"52","TMEM176B"
"53","GPX3"
"54","F10"
"55","TM4SF4"
"56","GC"
"57","SLC7A2"
"58","KIAA1324"
"59","TMEM176A"
"60","PEMT"
"61","SLC38A4"
"62","FXYD3"
"63","IRX2"
"64","SLC22A17"
"65","CD99L2"
"66","FXYD5"
"67","GLS"
"68","CHGB"
"69","CRYBA2"
"70","FXYD6"
"71","SLC7A8"
"72","PTPRN2"
"73","MIR6887"
"74","PAPPA2"
"75","KIAA1244"
"76","SCG5"
"77","CHID1"
"78","NUCB1"
"79","LOXL4"
"80","POPDC3"
"81","ELL2"
"82","GPR119"
"83","CHGA"
"84","SMIM24"
"85","PDE3B"
"86","MAFB"
"87","QDPR"
"88","DPM3"
"89","KCTD12"
"90","SMOC1"
"91","PTPRT"
"92","VGF"
"93","FAP"
"94","DPP4"
"95","SPOCK3"
"96","COTL1"
"97","SEZ6L2"
"98","CFC1"
"99","RGS4"
"100","FAR2P2"
"101","INS"
"102","HADH"
"103","ADCYAP1"
"104","NPTX2"
"105","PFKFB2"
"106","SYT13"
"107","WSCD2"
"108","MEG3"
"109","IAPP"
"110","PCSK1"
"111","C1orf127"
"112","PDX1"
"113","UCHL1"
"114","ERO1LB"
"115","MAFA"
"116","SCG3"
"117","G6PC2"
"118","CADM1"
"119","GAD2"
"120","SUSD4"
"121","FAM105A"
"122","CYYR1"
"123","SAMD11"
"124","SSTR5-AS1"
"125","SCGN"
"126","ABCC8"
"127","CDH22"
"128","NKX6-1"
"129","ATP2A3"
"130","SORL1"
"131","SCD5"
"132","TGFBR3"
"133","RNF130"
"134","GSN"
"135","DLK1"
"136","GLP1R"
"137","ENTPD3"
"138","FFAR1"
"139","PFN2"
"140","BMP5"
"141","ALCAM"
"142","PLCXD3"
"143","GPM6A"
"144","IGSF1"
"145","STXBP1"
"146","ANKRD23"
"147","CYP2U1"
"148","KCNQ2"
"149","ENO2"
"150","FAM159B"
"151","SST"
"152","LEPR"
"153","BCHE"
"154","LRFN5"
"155","HHEX"
"156","RBP4"
"157","CBLN4"
"158","RGS2"
"159","ANK1"
"160","GABRB3"
"161","BAIAP3"
"162","TENM3"
"163","ERBB4"
"164","FRZB"
"165","EYS"
"166","ST8SIA4"
"167","PSIP1"
"168","DHRS2"
"169","LY6H"
"170","FFAR4"
"171","PKIB"
"172","AMIGO2"
"173","MS4A8"
"174","KCTD8"
"175","FHOD3"
"176","CASR"
"177","CNGA3"
"178","HAP1"
"179","STXBP5L"
"180","LOC728392"
"181","ISL1"
