"","x"
"1","SST"
"2","PPY"
"3","INS"
"4","GCG"
"5","CLPS"
"6","REG1A"
"7","PRSS1"
"8","REG3A"
"9","TTR"
"10","MMP1"
"11","REG1B"
"12","SPP1"
"13","PLVAP"
"14","OLFM4"
"15","COL1A1"
"16","CPB1"
"17","RBP4"
"18","RGS5"
"19","IAPP"
"20","PNLIP"
"21","MALAT1"
"22","CRP"
"23","CTRB2"
"24","KRT17"
"25","PPP1R15A"
"26","THBS1"
"27","SPINK1"
"28","CHGB"
"29","COL1A2"
"30","TCN1"
"31","CELA3A"
"32","LCN2"
"33","ALB"
"34","CPA1"
"35","SPARC"
"36","TIMP1"
"37","MMP7"
"38","MT1G"
"39","COL3A1"
"40","CTRB1"
"41","SERPINA3"
"42","TIMP3"
"43","GDF15"
"44","SERPINA1"
"45","ENG"
"46","PRSS3"
"47","CPA2"
"48","SERPINE1"
"49","CTRC"
"50","GP2"
"51","NR1D1"
"52","CEACAM7"
"53","REG3G"
"54","DLK1"
"55","PRSS3P2"
"56","ANXA1"
"57","ERCC-30000:mix1-7500:mix2"
"58","CCL20"
"59","ERCC-15000:mix1-30000:mix2"
"60","BGN"
"61","SFRP2"
"62","FTL"
"63","IFIT2"
"64","PIGR"
"65","CFB"
"66","IGFBP3"
"67","CEACAM6"
"68","CD36"
"69","MT2A"
"70","NPY"
"71","CCL2"
"72","CHGA"
"73","LYZ"
"74","SERPINB2"
"75","C10orf10"
"76","MMP2"
"77","DUOXA2"
"78","PNLIPRP1"
"79","CELA3B"
"80","FGB"
"81","CXCL8"
"82","SLCO2A1"
"83","B2M"
"84","PNLIPRP2"
"85","ERCC-15000:mix1-22500:mix2"
"86","SAT1"
"87","CRYAB"
"88","HSPA1A"
"89","LUM"
"90","GADD45B"
"91","DUOX2"
"92","CTSD"
"93","FN1"
"94","KRT7"
"95","MMP11"
"96","TM4SF4"
"97","MAST1"
"98","KRT19"
"99","TGFBI"
"100","ALDOB"
"101","DNAJB1"
"102","ANGPTL4"
"103","HMOX1"
"104","PDK4"
"105","CXCL6"
"106","CELA2A"
"107","ANXA4"
"108","IGFBP5"
"109","CRYBA2"
"110","G6PC2"
"111","AMBP"
"112","COL6A3"
"113","IGFBP4"
"114","CD74"
"115","THBS2"
"116","RNASE1"
"117","VCAM1"
"118","AQP1"
"119","C3"
"120","PCSK1N"
"121","ANKRD1"
"122","ACTB"
"123","HSPB1"
"124","COL6A2"
"125","INHBA"
"126","TACSTD2"
"127","CD44"
"128","CLU"
"129","SOX4"
"130","CYP1A1"
"131","SCG2"
"132","PI3"
"133","LOXL4"
"134","SERPINH1"
"135","CEL"
"136","TSPAN8"
"137","ACTG1"
"138","SPON2"
"139","CXCL1"
"140","TFPI2"
"141","FTH1"
"142","PLIN2"
"143","CFTR"
"144","GNAS"
"145","PLA2G1B"
"146","ERCC-15000:mix1-15000:mix2"
"147","PASK"
"148","ANGPT2"
"149","CTGF"
"150","SCG5"
"151","STC1"
"152","S100A6"
"153","ESAM"
"154","CD24"
"155","LGALS1"
"156","LOXL2"
"157","SERPING1"
"158","KRT8"
"159","IGFBP7"
"160","ALDH1A1"
"161","TMSB10"
"162","THBD"
"163","AGT"
"164","PLAT"
"165","CLDN2"
"166","ADH1C"
