"","x"
"1","CTRC"
"2","GSTA2"
"3","CPA1"
"4","CPA2"
"5","PRSS3P2"
"6","PNLIPRP2"
"7","BCAT1"
"8","PLA2G1B"
"9","CTRB1"
"10","CTRB2"
"11","DPEP1"
"12","CXCL17"
"13","PNLIP"
"14","ALB"
"15","ALDOB"
"16","REG1B"
"17","LGALS2"
"18","REG3A"
"19","CELA3A"
"20","CELA2A"
"21","RARRES2"
"22","PNLIPRP1"
"23","MGST1"
"24","KLK1"
"25","RNASE1"
"26","CPB1"
"27","PDIA2"
"28","PRSS1"
"29","ANPEP"
"30","TPST2"
"31","FAM129A"
"32","CELA3B"
"33","PRSS3"
"34","GP2"
"35","CEL"
"36","REG3G"
"37","SYCN"
"38","MT1H"
"39","TIMP1"
"40","MT1G"
"41","FGL1"
"42","LDHB"
"43","LYZ"
"44","GSTA1"
"45","AZGP1"
"46","SPINK1"
"47","ERP27"
"48","ITIH4"
"49","REG1A"
"50","SLC39A5"
"51","F10"
"52","LOXL4"
"53","FAP"
"54","GC"
"55","CRYBA2"
"56","SLC38A4"
"57","VGF"
"58","GLS"
"59","RGS4"
"60","SLC7A2"
"61","FXYD3"
"62","SMIM24"
"63","MAFB"
"64","PLCE1"
"65","CD99L2"
"66","SYNE2"
"67","IRX2"
"68","SERPINE2"
"69","TM4SF4"
"70","GPX3"
"71","PEMT"
"72","PPP1R1A"
"73","ELL2"
"74","PCSK2"
"75","TMEM176A"
"76","SCG2"
"77","CHGA"
"78","SOX4"
"79","SLC22A17"
"80","FXYD6"
"81","SLC30A8"
"82","SLC7A8"
"83","PRSS23"
"84","CHGB"
"85","FXYD5"
"86","SCG3"
"87","WLS"
"88","CD9"
"89","KCTD12"
"90","SCGN"
"91","SCG5"
"92","SDC4"
"93","CRH"
"94","IFITM3"
"95","SCD5"
"96","GCG"
"97","ENPP2"
"98","PTPRN"
"99","PCSK1N"
"100","PAPPA2"
"101","IAPP"
"102","ADCYAP1"
"103","WSCD2"
"104","DLK1"
"105","C1orf127"
"106","NPTX2"
"107","PFKFB2"
"108","CYYR1"
"109","INS"
"110","PCSK1"
"111","MEG3"
"112","SAMD11"
"113","RBP4"
"114","MAFA"
"115","GPM6A"
"116","ENTPD3"
"117","SUSD4"
"118","IGSF1"
"119","TGFBR3"
"120","HADH"
"121","CAPN13"
"122","SSTR5-AS1"
"123","RGS16"
"124","FAM159B"
"125","CASR"
"126","PDX1"
"127","FAM105A"
"128","SYT13"
"129","FFAR1"
"130","BMP5"
"131","ASB9"
"132","C1QL1"
"133","ELMO1"
"134","CYP2U1"
"135","TSPAN1"
"136","ANKRD23"
"137","CDH22"
"138","TMEM37"
"139","SORL1"
"140","G6PC2"
"141","SIX3"
"142","HHATL"
"143","LINC01099"
"144","DHRS2"
"145","LRRTM3"
"146","MAPT"
"147","SERPINA1"
"148","LEPR"
"149","BCHE"
"150","SST"
"151","HHEX"
"152","LRFN5"
"153","RGS2"
"154","FFAR4"
"155","CBLN4"
"156","ANK1"
"157","FRZB"
"158","UNC5B"
"159","EYS"
"160","F5"
"161","LY6H"
"162","TENM3"
"163","PSIP1"
"164","PKIB"
"165","PIPOX"
"166","C12orf75"
"167","EDN3"
"168","BAIAP3"
"169","MS4A8"
"170","IGFBP7"
"171","ABI3BP"
"172","TMSB10"
"173","GABRB3"
"174","ERBB4"
"175","AMIGO2"
"176","PRG4"
"177","CNGA3"
"178","NSG1"
"179","ST8SIA4"
"180","LAPTM4B"
"181","VAT1L"
"182","DPYSL3"
"183","UCP2"
"184","PCP4"
"185","ANXA2"
"186","PLEKHB1"
"187","GPC5-AS1"
"188","GAD2"
"189","STXBP5L"
"190","HAP1"
"191","TINAGL1"
"192","CFTR"
"193","AQP1"
"194","MMP7"
"195","PPAP2C"
"196","LGALS4"
"197","SPP1"
"198","ALDH1A3"
"199","KRT19"
"200","SERPINA5"
"201","TSPAN8"
"202","CLDN10"
"203","VTCN1"
"204","MUC20"
"205","CLDN1"
"206","ANXA3"
"207","DEFB1"
"208","TRPV6"
"209","CAV2"
"210","SLC3A1"
"211","SDC1"
"212","TACSTD2"
"213","SLC4A4"
"214","SERPING1"
"215","PMEPA1"
"216","COL18A1"
"217","KIAA1324"
"218","FLRT2"
"219","LAD1"
"220","KRT7"
"221","HSD17B2"
"222","HSPB8"
"223","PRSS8"
"224","PROM1"
"225","PDLIM3"
"226","LCN2"
"227","CTSH"
"228","S100A14"
"229","CMTM7"
"230","IFITM2"
"231","LGALS3"
"232","WWTR1"
"233","ABCC3"
"234","CFB"
"235","LITAF"
"236","SCNN1A"
"237","SERPINA3"
"238","PLVAP"
"239","CARD16"
"240","ACVRL1"
"241","PRDM1"
"242","ESAM"
"243","ANGPT2"
"244","PASK"
"245","IFI27"
"246","KANK3"
"247","MMP1"
"248","TMEM255B"
"249","ICAM2"
"250","PODXL"
"251","TM4SF18"
"252","LAMA4"
"253","RASIP1"
"254","ELK3"
"255","PLEKHG1"
"256","LRRC8C"
"257","FAM167B"
"258","IFITM1"
"259","SPARC"
"260","PGF"
"261","ENG"
"262","SERPINE1"
"263","RAPGEF5"
"264","EXOC3L1"
"265","SPINT2"
"266","NRP2"
"267","PTPRE"
"268","HEY1"
"269","RARB"
"270","DLL4"
"271","ETS1"
"272","ITPKB"
"273","NOTCH4"
"274","FZD4"
"275","MIR4435-1HG"
"276","TMEM173"
"277","C1orf54"
"278","EPCAM"
"279","FAM198B"
"280","ARHGAP31"
"281","STC1"
"282","PLEKHO1"
"283","TNFAIP8L1"
"284","SPRY4"
"285","SH3BP5"
"286","ITM2A"
"287","GNG11"
"288","PPY"
"289","THSD7A"
"290","SLITRK6"
"291","SERTM1"
"292","ETV1"
"293","CHN2"
"294","SLC6A4"
"295","MEIS2"
"296","CDH17"
"297","ABCC9"
"298","CALB1"
"299","PXK"
"300","PCDH10"
"301","CNTNAP5"
"302","CHRM3"
"303","INPP5F"
"304","LMO3"
"305","CARD11"
"306","SEMA3E"
"307","PRKACB"
"308","PTGFR"
"309","ENTPD2"
"310","SYNPO2"
"311","NPFFR2"
"312","SPOCK1"
"313","AKAP12"
"314","GFRA1"
"315","SLC6A17"
"316","KIAA0319"
"317","GRAMD1B"
"318","KCNJ8"
"319","ARX"
"320","ID4"
"321","MDFIC"
"322","LONRF2"
"323","CACNA1H"
"324","DIRAS3"
"325","FAM69B"
"326","TUBB2A"
