"","x"
"1","BCL2L15"
"2","FAM129A"
"3","CELA2A"
"4","CTRC"
"5","CELA2B"
"6","AKR7A3"
"7","CELA3B"
"8","CELA3A"
"9","GUCA2B"
"10","F3"
"11","AMY2B"
"12","MUC1"
"13","MT1HL1"
"14","REG3G"
"15","REG1A"
"16","REG3A"
"17","REG1B"
"18","REG1P"
"19","INHA"
"20","ITIH4"
"21","CPB1"
"22","SERPINI2"
"23","ADH1C"
"24","EGF"
"25","ALB"
"26","LINC01207"
"27","LEAP2"
"28","SPINK1"
"29","LTB"
"30","DEF6"
"31","CLPS"
"32","GSTA2"
"33","AKR1B10"
"34","CPA1"
"35","FKBP9P1"
"36","CPA2"
"37","CPA4"
"38","PRSS1"
"39","PRSS3P2"
"40","RARRES2"
"41","ZBED6CL"
"42","GATA4"
"43","FGL1"
"44","PRSS3"
"45","ALDOB"
"46","PTGR1"
"47","CEL"
"48","FIRRE"
"49","MXRA5"
"50","SLC38A5"
"51","PTGER3"
"52","PAPPA2"
"53","GPR3"
"54","S100A10"
"55","AGT"
"56","EPHA4"
"57","ANXA4"
"58","DPP4"
"59","GLS"
"60","FAM84A"
"61","LOC101929532"
"62","KLHL41"
"63","IGFBP5"
"64","CRYBA2"
"65","ACKR2"
"66","EGFEM1P"
"67","LINC01214"
"68","LOC100507661"
"69","SPOCK3"
"70","STK32B"
"71","ABCG2"
"72","IGFBP7"
"73","LINC01060"
"74","MSANTD1"
"75","C5orf38"
"76","ADCY2"
"77","ITGA1"
"78","PPP2R2B"
"79","SLC6A19"
"80","IRX2"
"81","IRX1"
"82","BVES"
"83","BVES-AS1"
"84","POPDC3"
"85","COL26A1"
"86","INHBA"
"87","CD36"
"88","PDK4"
"89","VGF"
"90","SGCZ"
"91","EYA1"
"92","CRH"
"93","COL27A1"
"94","SPINK4"
"95","ANXA2P2"
"96","TPM2"
"97","GPR64"
"98","SYTL5"
"99","TIMP1"
"100","DNM3"
"101","C1orf127"
"102","PTPRU"
"103","SAMD11"
"104","PLCH2"
"105","SLC25A34"
"106","OPRD1"
"107","HPCA"
"108","RGS16"
"109","PFKFB2"
"110","KCNH7"
"111","TFCP2L1"
"112","GREB1"
"113","CAPN13"
"114","KCNG3"
"115","SIX3"
"116","SIX2"
"117","ANKRD23"
"118","CHL1"
"119","FAM107A"
"120","TMEM108"
"121","PEX5L"
"122","NKIRAS1"
"123","ENTPD3"
"124","HHATL"
"125","ACPP"
"126","P2RY1"
"127","TEC"
"128","PCDH7"
"129","CCDC109B"
"130","GPM6A"
"131","NKX6-1"
"132","AP3B1"
"133","PCDHGA2"
"134","GLRA1"
"135","FAM105A"
"136","SNCB"
"137","LOC100130476"
"138","GLP1R"
"139","FAM115C"
"140","NPTX2"
"141","NEFM"
"142","PHYHIP"
"143","MAFA"
"144","TRPM3"
"145","MAMDC2"
"146","GPSM1"
"147","IGSF1"
"148","ASB9"
"149","SPAG6"
"150","LEPR"
"151","RGS2"
"152","ERBB4"
"153","FRZB"
"154","BCHE"
"155","SST"
"156","KCTD8"
"157","MIR1973"
"158","MTRNR2L2"
"159","GABRG2"
"160","RASA4CP"
"161","MTRNR2L6"
"162","ANK1"
