"","x"
"1","COL1A2"
"2","SPARC"
"3","COL1A1"
"4","CELA3A"
"5","COL3A1"
"6","MT1G"
"7","CTRC"
"8","PNLIP"
"9","CLPS"
"10","CRP"
"11","DLK1"
"12","CPA1"
"13","CTRB1"
"14","PNLIPRP1"
"15","CPB1"
"16","REG3A"
"17","BGN"
"18","SFRP2"
"19","COL6A3"
"20","CELA3B"
"21","CEACAM7"
"22","OLFM4"
"23","CTRB2"
"24","CPA2"
"25","DUOXA2"
"26","CELA2A"
"27","PRSS3P2"
"28","PNLIPRP2"
"29","LUM"
"30","FN1"
"31","PRSS3"
"32","CCL2"
"33","REG1B"
"34","REG3G"
"35","IGFBP4"
"36","IAPP"
"37","MMP2"
"38","SERPINB2"
"39","GP2"
"40","LYZ"
"41","NPY"
"42","ALB"
"43","TIMP3"
"44","THBS1"
"45","CYP1A1"
"46","CEL"
"47","PRSS1"
"48","DUOX2"
"49","CEACAM6"
"50","CXCL8"
"51","PLA2G1B"
"52","SPON2"
"53","MT2A"
"54","IGFBP3"
"55","PLVAP"
"56","COL6A2"
"57","RBP4"
"58","CXCL6"
"59","RNASE1"
"60","MT1H"
"61","THBS2"
"62","APCS"
"63","LGALS1"
"64","ALDOB"
"65","CXCL1"
"66","SERPINE1"
"67","MMP1"
"68","AQP1"
"69","MMP7"
"70","AMBP"
"71","STC1"
"72","COL4A1"
"73","COL15A1"
"74","VCAM1"
"75","CCL20"
"76","GPNMB"
"77","CLDN2"
"78","CRYAB"
"79","TGFBI"
"80","ADH1C"
"81","CTGF"
"82","SPINK1"
"83","TCN1"
"84","FMOD"
"85","GDF15"
"86","PIGR"
"87","FGF19"
"88","COL4A2"
"89","C3"
"90","DEFB1"
"91","IGFBP5"
"92","AKR1B10"
"93","ENG"
"94","SLC3A1"
"95","MMP11"
"96","UBD"
"97","COL6A1"
"98","TGM2"
"99","HLA-DRA"
"100","ANGPTL4"
"101","ANPEP"
"102","ALDH1A3"
"103","KRT17"
"104","VCAN"
"105","SLPI"
"106","TSPAN8"
"107","IFITM1"
"108","SPP1"
"109","PLAU"
"110","LOXL2"
"111","RGS2"
"112","UCA1"
"113","TFPI2"
"114","PLAT"
"115","KRT23"
"116","COL5A1"
"117","ESAM"
"118","PLIN2"
"119","TINAGL1"
"120","ANXA1"
"121","CFB"
"122","CTSK"
"123","CYR61"
"124","LGALS2"
"125","ICAM1"
"126","CXCL2"
"127","PDK4"
"128","MGP"
"129","PODXL"
"130","HMOX1"
"131","CYGB"
"132","RCAN1"
"133","LCN2"
"134","THBD"
"135","ATF3"
"136","UGT2B15"
"137","CD36"
"138","PXDN"
"139","AGT"
"140","MXRA8"
"141","MT1E"
"142","DKK3"
"143","SERPINF1"
"144","CD74"
"145","MT1X"
"146","SYCN"
"147","CA4"
"148","MUC1"
"149","CFTR"
"150","SOD2"
"151","CXCL17"
"152","NPTX2"
"153","F2R"
"154","CAV1"
"155","AEBP1"
"156","INHBA"
"157","FGB"
"158","PASK"
"159","TIMP1"
"160","H19"
"161","PRG4"
"162","SNAI2"
"163","KRT7"
"164","PLXDC1"
"165","RARRES2"
"166","KRT19"
"167","HTRA1"
"168","ANGPT2"
"169","TNFAIP2"
"170","ADM"
"171","AKR1C2"
"172","ANKRD1"
"173","SOX4"
"174","MUC3A"
"175","TNC"
"176","PRDM1"
"177","PMEPA1"
"178","WFDC2"
"179","NFKBIA"
"180","PDLIM3"
"181","TNFAIP6"
"182","GSTA2"
"183","LAMA4"
"184","SERPINA5"
"185","MT1M"
"186","LTBP1"
"187","AKR1C1"
"188","CXCL3"
"189","REG1A"
"190","SERPINA3"
"191","CYP1B1"
"192","SERPINH1"
"193","PTTG1"
"194","GPRC5A"
"195","AKR1C3"
"196","SST"
"197","GADD45B"
"198","HEYL"
"199","NUSAP1"
"200","GSTA1"
"201","CALD1"
"202","C11orf96"
"203","CTSE"
"204","C1S"
"205","CRISPLD2"
"206","AQP3"
"207","SERPING1"
"208","UACA"
"209","C4BPA"
"210","SULF1"
"211","PEG10"
"212","HSD17B2"
"213","LIF"
"214","HMGCS2"
"215","TGFB3"
"216","ACVRL1"
"217","CRH"
"218","RND3"
"219","C10orf10"
"220","CLDN10"
"221","ITGA5"
"222","A2M"
"223","IL32"
"224","CLDN1"
"225","CARD16"
"226","LGALS4"
"227","LEPR"
"228","ID3"
"229","INSR"
"230","PDIA2"
"231","KLHL41"
"232","SFRP5"
"233","TACSTD2"
"234","COL5A2"
"235","MCAM"
"236","NR4A1"
"237","NOTCH3"
"238","CCND1"
"239","LOC100506281"
"240","BIRC3"
"241","LOXL4"
"242","RGS5"
"243","CLIC4"
"244","PLCE1"
"245","CDKN1A"
"246","CHI3L1"
"247","GEM"
"248","SYT8"
"249","LTB"
"250","FAM159B"
"251","LAMB3"
"252","SDC4"
"253","MGST1"
"254","IGFBP2"
"255","MUC6"
"256","ECEL1"
"257","MT1F"
"258","MFGE8"
"259","IFI27"
"260","DDIT3"
"261","PAMR1"
"262","DHRS3"
"263","GATM"
"264","ZFP36L1"
"265","COL18A1"
"266","AGR2"
"267","SGK1"
"268","LECT1"
"269","SLC4A4"
"270","ID1"
"271","SERINC2"
"272","TM4SF18"
"273","GPX2"
"274","PFKFB2"
"275","PPAP2B"
"276","CD44"
"277","G6PC2"
"278","EDN3"
"279","CPA4"
"280","PPP1R15A"
"281","CTSH"
"282","CALB1"
"283","GREM1"
"284","PDZK1IP1"
"285","ANXA10"
"286","ITGA1"
"287","ANXA3"
"288","ANXA4"
"289","ANTXR1"
"290","GNG11"
"291","LAMC2"
"292","TAGLN"
"293","TSPAN1"
"294","FKBP10"
"295","DDIT4"
"296","FSTL3"
"297","ERP27"
"298","AXL"
"299","DLL4"
"300","VGF"
"301","FSTL1"
"302","HSPB1"
"303","NRP2"
"304","AGR3"
"305","MSC"
"306","KRT18"
"307","PCOLCE"
"308","VIM"
"309","LDHB"
"310","PCSK1"
"311","IFIT2"
"312","KCNJ13"
"313","RGS16"
"314","CLDN11"
"315","CKS2"
"316","CCNB1"
"317","NID1"
"318","VTCN1"
"319","ERCC-937.5:mix1-937.5:mix2"
"320","SPOCK1"
"321","STOM"
"322","VNN1"
"323","WNT5A"
"324","CDH6"
"325","RAB31"
"326","GPRC5B"
"327","SLITRK6"
"328","CTHRC1"
"329","TXNIP"
"330","HSD11B2"
"331","ADAMTS1"
"332","PMP22"
"333","NUPR1"
"334","HLA-DRB1"
"335","ACTA2"
"336","GPSM1"
"337","NDUFA4L2"
"338","C1QL1"
"339","RARB"
"340","IER3"
"341","RSAD2"
"342","RASD1"
"343","NNMT"
"344","RCN3"
"345","HADH"
"346","PRSS8"
"347","MAST1"
"348","ADAMTS9"
"349","PRC1"
"350","TK1"
"351","FLNA"
"352","BCHE"
"353","SERPINA1"
"354","TAAR5"
"355","HILPDA"
"356","CDCA8"
"357","CASP1"
"358","EGR1"
"359","SIX3"
"360","SOCS1"
"361","SRPX2"
"362","PLK1"
"363","EGR2"
"364","NEURL3"
"365","SOX11"
"366","RAMP1"
"367","SLCO2A1"
"368","MEG3"
"369","CD9"
"370","IFIT1"
"371","PPY"
"372","ITM2A"
"373","CA12"
"374","CRYBA2"
"375","VNN2"
"376","FSCN1"
"377","SLIT2"
"378","EBF1"
"379","GUCA2B"
"380","SAT1"
"381","HLA-DPA1"
"382","TM4SF1"
"383","C6orf222"
"384","CLDN4"
"385","GJA1"
"386","MUC20"
"387","LTBP2"
"388","CFI"
"389","FILIP1L"
"390","SOCS3"
"391","CP"
"392","CA2"
"393","RGS4"
"394","NOTCH4"
"395","CSF1"
"396","CHST4"
"397","MUC13"
"398","AURKA"
"399","GPM6A"
"400","LDHA"
"401","HLA-DRB5"
"402","ACTG1P4"
"403","ENC1"
"404","INS"
"405","PGF"
"406","BUB1"
"407","ANGPTL2"
"408","EMILIN1"
"409","PLAUR"
"410","PSG4"
"411","GCNT3"
"412","PTEN"
"413","CCNA2"
"414","PTRF"
"415","FGL1"
"416","CDKN3"
"417","FOLR1"
"418","CTRL"
"419","CREB5"
"420","LRRC8C"
"421","TPM1"
"422","TNFRSF11B"
"423","KRT8"
"424","AKAP12"
"425","NFIB"
"426","IL17RB"
"427","CYBRD1"
"428","IFIT3"
"429","RND1"
"430","IGSF1"
"431","F3"
"432","CFH"
"433","DUSP4"
"434","DUSP1"
"435","SPAG6"
"436","IGFBP7"
"437","KLF6"
"438","SLC16A3"
"439","MSN"
"440","IFITM3"
"441","F5"
"442","ARRDC3"
"443","NR4A2"
"444","IFI16"
"445","ZNF547"
"446","PMAIP1"
"447","ERCC-1875:mix1-468.75:mix2"
"448","SYNPO2"
"449","MYL9"
"450","SPHK1"
"451","S100A6"
"452","CD24"
"453","SERPINA4"
"454","PI3"
"455","FLRT2"
"456","SLC2A1"
"457","TNFSF10"
"458","FBN1"
"459","TNFRSF12A"
"460","MPZL2"
"461","ERCC-58.59375:mix1-58.59375:mix2"
"462","TMEM173"
"463","ITGB6"
"464","THSD7A"
"465","CDC42EP1"
"466","LOC101928100"
"467","CALU"
"468","LGALS3"
"469","IQGAP3"
"470","GAL"
"471","CX3CL1"
"472","ANO1"
"473","MT1HL1"
"474","UNC5B"
"475","ZNF225"
"476","S100A10"
"477","PPAP2C"
"478","NEDD9"
"479","IL18"
"480","FRZB"
"481","TPM2"
"482","PCP4"
"483","TXNRD1"
"484","TNFAIP3"
"485","ANXA2"
"486","RELL1"
"487","FAM198B"
"488","STEAP4"
"489","CAPN6"
"490","CCDC102B"
"491","HSPA5"
"492","NEFM"
"493","NCOA7"
"494","UPP1"
"495","REG4"
"496","PTTG3P"
"497","HSPB8"
"498","ERAP2"
"499","C1R"
"500","PRKCDBP"
