"","x"
"1","GCG"
"2","TTR"
"3","INS"
"4","TM4SF4"
"5","ND4"
"6","CYTB"
"7","HADH"
"8","COX3"
"9","COX2"
"10","GC"
"11","RPL23"
"12","ATP8"
"13","GLS"
"14","MAP1B"
"15","ATP6"
"16","RPS6"
"17","INS-IGF2"
"18","FAP"
"19","ND2"
"20","SYNE2"
"21","UCHL1"
"22","RPS25"
"23","PFKFB2"
"24","ADCYAP1"
"25","B2M"
"26","RPS3"
"27","TMEM176B"
"28","ND4L"
"29","CLU"
"30","PCSK1"
"31","RPL5"
"32","RPL3"
"33","GSN"
"34","TIMP2"
"35","ALDH1A1"
"36","RPS23"
"37","EEF1A1"
"38","NPTX2"
"39","SYT13"
"40","TSPYL1"
"41","ABCC8"
"42","RPL15"
"43","ND1"
"44","RPS14"
"45","ZBTB20"
"46","RNR2"
"47","SEPW1"
"48","RPS27A"
"49","SCD5"
"50","SORL1"
"51","MEG3"
"52","G6PC2"
"53","PTEN"
"54","ERO1LB"
"55","PPP1CB"
"56","EIF4A2"
"57","SCGN"
"58","DHRS7"
"59","CADM1"
"60","MAFA"
"61","SCG3"
"62","IAPP"
"63","HSP90AB1"
"64","SAMD11"
"65","RPL4"
"66","SST"
"67","RGS2"
"68","SLC38A1"
"69","SEC11C"
"70","RBP4"
"71","LOC101927960"
"72","CD9"
"73","AKAP12"
"74","PHACTR1"
"75","NCOA7"
"76","RPL7P19"
"77","CD99"
"78","C1orf173"
"79","SLC17A6"
"80","LRCH2"
"81","KRT19"
"82","LOC100507205"
"83","SEMA3E"
"84","LPHN2"
"85","LINC00478"
"86","MS4A8"
"87","LEPR"
"88","EIF2S2P3"
"89","PLAC8"
"90","HNRNPA2B1"
"91","CPB1"
"92","ABCC5"
"93","RBM38"
"94","S100A6"
"95","ST3GAL1"
"96","EYS"
"97","LOC101927991"
"98","TNFAIP2"
"99","LEPROT"
"100","DHRS2"
"101","FFAR4"
"102","CDHR3"
"103","MTUS1"
"104","CNGA3"
"105","LOC101928591"
"106","NDUFB8P3"
"107","UHRF2"
"108","ANK3"
"109","ASS1"
"110","SCG5"
"111","MLPH"
"112","DFNB31"
"113","PSIP1"
"114","PPY"
"115","ID2"
"116","THSD7A"
"117","SLITRK6"
"118","ETV1"
"119","CHRM3"
"120","LINC00616"
"121","STMN2"
"122","BTG2"
"123","ZNF503"
"124","EEF1A1P11"
"125","RMST"
"126","SPOCK1"
"127","SLC4A4"
"128","ID1"
"129","PEG10"
"130","ID4"
"131","PCDH10"
"132","MTND1P23"
"133","AQP3"
"134","MEIS2"
"135","SLC6A4"
"136","LINC00907"
"137","EHF"
"138","PXK"
"139","ENTPD2"
"140","MALAT1"
"141","SERTM1"
"142","RPL3P4"
"143","LOC101928142"
"144","LOC100128906"
"145","TNFRSF11B"
"146","HGD"
"147","FXYD2"
"148","TSPAN8"
"149","TMEM47"
"150","C14orf105"
"151","LOC101927337"
"152","ACTBP2"
"153","PCSK1N"
"154","S100A10"
"155","EEF1A1P6"
"156","BPHL"
"157","JUN"
"158","EGR3"
