"","x"
"1","FAP"
"2","GC"
"3","TM4SF4"
"4","IRX2"
"5","PAPPA2"
"6","GLS"
"7","LOXL4"
"8","C19orf77"
"9","ARX"
"10","TMEM236"
"11","SLC38A4"
"12","FXYD5"
"13","F10"
"14","IGFBP2"
"15","DPP4"
"16","FXYD3"
"17","PLCE1"
"18","LOC101929532"
"19","FABP5P7"
"20","FABP5"
"21","CRYBA2"
"22","KCTD12"
"23","MUC13"
"24","TMEM176B"
"25","PLIN3"
"26","FABP5P1"
"27","FABP5P2"
"28","FSTL5"
"29","SERPINA1"
"30","RGS4"
"31","LDHA"
"32","SPOCK3"
"33","TMEM176A"
"34","LOC100506869"
"35","PTPRT"
"36","VGF"
"37","NPNT"
"38","HMGB3"
"39","IGFBPL1"
"40","APOH"
"41","SERPINE2"
"42","MYO10"
"43","ARRDC4"
"44","CRH"
"45","LOC101928757"
"46","SMOC1"
"47","GPX3"
"48","MRC1"
"49","FXYD6"
"50","WIPF3"
"51","INS"
"52","INS-IGF2"
"53","ADCYAP1"
"54","IAPP"
"55","HADH"
"56","PFKFB2"
"57","TIMP2"
"58","MAFA"
"59","NPTX2"
"60","GSN"
"61","MEG3"
"62","CASR"
"63","PCSK1"
"64","SCD5"
"65","SYNE2"
"66","DLK1"
"67","SAMD11"
"68","SYT13"
"69","TGFBR3"
"70","PDX1"
"71","SORL1"
"72","C1orf127"
"73","LOC285501"
"74","BMP5"
"75","PRSS23"
"76","G6PC2"
"77","TBC1D24"
"78","TNS1"
"79","ABCC8"
"80","ROBO1"
"81","UCHL1"
"82","CDKN1C"
"83","CADM1"
"84","RGS16"
"85","TMEM150C"
"86","ELMO1"
"87","DHRS7"
"88","SLC6A6"
"89","LOC101928656"
"90","ITPR3"
"91","PVRL3"
"92","RBP4"
"93","LOC100506454"
"94","ZBTB20"
"95","PTPRS"
"96","FAT1"
"97","PKIB"
"98","TSPAN1"
"99","ENO1"
"100","MAPT"
"101","SST"
"102","SLC38A1"
"103","CD9"
"104","LEPR"
"105","FFAR4"
"106","UNC5B"
"107","LOC101927960"
"108","AKAP12"
"109","RGS2"
"110","PRG4"
"111","LINC00478"
"112","BHLHE41"
"113","MS4A8"
"114","DHRS2"
"115","PLAC8"
"116","NCOA7"
"117","DPYSL3"
"118","PSIP1"
"119","MTUS1"
"120","SLC4A4"
"121","CPB1"
"122","TSHZ2"
"123","TMED6"
"124","EHF"
"125","LPHN2"
"126","LEPROT"
"127","S100A6"
"128","UCP2"
"129","PLEKHB1"
"130","EYS"
"131","VMP1"
"132","ANK3"
"133","CXADR"
"134","LRCH2"
"135","TENM3"
"136","MLPH"
"137","KCNJ2"
"138","EXOC6"
"139","PHACTR1"
"140","SLC17A6"
"141","MRAP2"
"142","LOC728392"
"143","PPY"
"144","THSD7A"
"145","SLITRK6"
"146","CHRM3"
"147","LINC00616"
"148","ETV1"
"149","PCDH10"
"150","ID2"
"151","FXYD2"
"152","LOC100128906"
"153","SERTM1"
"154","PXK"
"155","AQP3"
"156","SEMA3E"
"157","TUBB2A"
"158","LOC101928402"
"159","LINC00290"
"160","TMEM47"
"161","PDE3A"
"162","MEIS2"
"163","ABCC9"
"164","AMOTL1"
"165","ZNF503"
"166","STMN2"
"167","HGD"
"168","SPOCK1"
"169","MIR100HG"
"170","AHR"
"171","GRAMD1B"
"172","SLC6A4"
"173","BTG2"
"174","FXYD6-FXYD2"
"175","EEF1A1P22"
"176","ABCB1"
"177","RPL3P4"
"178","RMST"
"179","TUBB2B"
"180","PEG10"
"181","GCNT3"
"182","SAMD5"
"183","INPP5F"
"184","APOBEC2"
"185","RPS27AP16"
