"","x"
"1","TM4SF4"
"2","GC"
"3","GLS"
"4","FAP"
"5","TMEM176B"
"6","FXYD5"
"7","SLC38A4"
"8","FXYD3"
"9","CYSTM1"
"10","GPX3"
"11","PAPPA2"
"12","CRYBA2"
"13","TMEM176A"
"14","LOXL4"
"15","KCTD12"
"16","IRX2"
"17","C19orf77"
"18","IGFBP2"
"19","IGFBPL1"
"20","TMEM236"
"21","ELL2"
"22","NAA20"
"23","EGFEM1P"
"24","PLIN3"
"25","VGF"
"26","DPP4"
"27","LDHA"
"28","PLCE1"
"29","HIGD1A"
"30","RGS4"
"31","F10"
"32","FABP5P7"
"33","ARX"
"34","MUC13"
"35","SPOCK3"
"36","HMGB3"
"37","ARRDC4"
"38","HIGD1AP1"
"39","FABP5P2"
"40","HLA-G"
"41","FSTL5"
"42","SLC7A2"
"43","SERPINA1"
"44","APOH"
"45","LOC101928757"
"46","HLA-B"
"47","FABP5P1"
"48","LOC100506869"
"49","RNASE4"
"50","HLA-E"
"51","INS"
"52","HADH"
"53","INS-IGF2"
"54","PFKFB2"
"55","ADCYAP1"
"56","NPTX2"
"57","SYNE2"
"58","GSN"
"59","SYT13"
"60","TIMP2"
"61","MEG3"
"62","G6PC2"
"63","SORL1"
"64","SCD5"
"65","PCSK1"
"66","DHRS7"
"67","CADM1"
"68","MAFA"
"69","IAPP"
"70","SAMD11"
"71","ABCC8"
"72","UCHL1"
"73","TBC1D24"
"74","CNP"
"75","CDKN1C"
"76","ETNK1"
"77","DLK1"
"78","ENO1"
"79","ZBTB20"
"80","TTC39C"
"81","ARL6IP5"
"82","RELL1"
"83","ABRACL"
"84","ATP2A3"
"85","PRDX1"
"86","RRAGD"
"87","SEPW1"
"88","TGFBR3"
"89","TBL1XR1"
"90","PTPRS"
"91","KIAA0247"
"92","CASR"
"93","PDX1"
"94","SRPRB"
"95","PHACTR2"
"96","ANO5"
"97","RGS16"
"98","ELMO1"
"99","PRUNE2"
"100","THAP5"
"101","SST"
"102","RGS2"
"103","SLC38A1"
"104","RBP4"
"105","LOC101927960"
"106","CD9"
"107","AKAP12"
"108","PHACTR1"
"109","NCOA7"
"110","C1orf173"
"111","SLC17A6"
"112","LRCH2"
"113","KRT19"
"114","SEMA3E"
"115","LPHN2"
"116","MS4A8"
"117","LEPR"
"118","EIF2S2P3"
"119","CPB1"
"120","PLAC8"
"121","ABCC5"
"122","S100A6"
"123","RBM38"
"124","ST3GAL1"
"125","EYS"
"126","TNFAIP2"
"127","LOC101927991"
"128","LEPROT"
"129","DHRS2"
"130","LOC100507205"
"131","MTUS1"
"132","FFAR4"
"133","CDHR3"
"134","CNGA3"
"135","LINC00478"
"136","UHRF2"
"137","ASS1"
"138","ANK3"
"139","MLPH"
"140","DFNB31"
"141","PSIP1"
"142","LOC101928591"
"143","IER2"
"144","UNC5B"
"145","GRAMD1C"
"146","PRG4"
"147","ABCC9"
"148","SMG6"
"149","APEH"
"150","TPPP3"
"151","PPY"
"152","ID2"
"153","THSD7A"
"154","SLITRK6"
"155","ETV1"
"156","CHRM3"
"157","STMN2"
"158","LINC00616"
"159","BTG2"
"160","ZNF503"
"161","RMST"
"162","SPOCK1"
"163","SLC4A4"
"164","ID1"
"165","PEG10"
"166","ID4"
"167","PCDH10"
"168","AQP3"
"169","MEIS2"
"170","SLC6A4"
"171","EHF"
"172","PXK"
"173","ENTPD2"
"174","SERTM1"
"175","LINC00907"
"176","RPL3P4"
"177","LOC100128906"
"178","TNFRSF11B"
"179","HGD"
"180","FXYD2"
"181","TSPAN8"
"182","TMEM47"
"183","C14orf105"
"184","ACTBP2"
"185","S100A10"
"186","BPHL"
"187","JUN"
"188","EGR3"
"189","FXYD6-FXYD2"
"190","EEF1A1P22"
"191","LINC01014"
"192","SAMD5"
"193","GRASP"
"194","TUBB2A"
"195","VMP1"
"196","DIRAS3"
"197","SCGB2A1"
"198","RAPGEF4"
