"","x"
"1","SST"
"2","PPY"
"3","GCG"
"4","INS"
"5","TTR"
"6","IAPP"
"7","SPINK1"
"8","LYZ"
"9","COX1"
"10","FTL"
"11","NPY"
"12","COX2"
"13","RNR2"
"14","BCYRN1P1"
"15","RBP4"
"16","SPP1"
"17","CYTB"
"18","COX3"
"19","MT1G"
"20","RNR1"
"21","ATP6"
"22","ND4"
"23","RN7SK"
"24","TRNS1"
"25","TRNV"
"26","TRNP"
"27","MT2A"
"28","MTND1P23"
"29","MALAT1"
"30","MT1X"
"31","B2M"
"32","ND2"
"33","FTH1"
"34","MT1H"
"35","ND1"
"36","SNAR-B2"
"37","SNAR-B1"
"38","ND4L"
"39","CHGB"
"40","IL8"
"41","ATP8"
"42","RGS2"
"43","TM4SF4"
"44","PRG4"
"45","CXCL1"
"46","CPB1"
"47","DLK1"
"48","S100A6"
"49","SAT1"
"50","ND6"
"51","SERPINA1"
"52","ID2"
"53","LCN2"
"54","REG1A"
"55","ALDH1A1"
"56","ACTG1"
"57","FXYD2"
"58","FABP5"
"59","TMSB4X"
"60","G6PC2"
"61","HILPDA"
"62","PRSS1"
"63","RPL3"
"64","CXCL2"
"65","RN7SL2"
"66","CTRL"
"67","CDKN1C"
"68","DDIT3"
"69","LOC284454"
"70","RPL41"
"71","ND3"
"72","PDK4"
"73","GPX3"
"74","TRNL1"
"75","RPS27"
"76","PPP1CB"
"77","AQP3"
"78","SCGN"
"79","PFKFB2"
"80","ACTG1P9"
"81","ND5"
"82","SCGB2A1"
"83","EGR1"
"84","SHISA2"
"85","HSPA8"
"86","RPS18"
"87","SOD2"
"88","C10orf10"
"89","RPL23"
"90","ZNF165"
"91","ARPC3P3"
"92","RSAD2"
"93","PSMB4"
"94","TOB1"
"95","CPE"
"96","BCYRN1"
"97","GPX2"
"98","FAM159B"
"99","HSP90AA1"
"100","SCG2"
"101","FBXO22-AS1"
"102","RPL5"
"103","HMBS"
"104","HADH"
"105","NAP1L1P1"
"106","FOS"
"107","LOC100129085"
"108","RPL7"
"109","ACTB"
"110","ARRDC3"
"111","GAPDH"
"112","LOC100128906"
"113","CD74"
"114","LOC100419583"
"115","HIST1H4C"
"116","RIN2"
"117","MT1E"
"118","SLC3A1"
"119","RPL21"
"120","TUBA1A"
"121","RPL21P16"
"122","MMP7"
"123","CLU"
"124","EIF3LP3"
"125","HNRNPH1"
"126","EIF4A2"
"127","TRNN"
"128","SOX4"
"129","IFI30"
"130","DHRS3"
"131","RN7SL1"
"132","UBC"
"133","TSPAN8"
"134","RPS25"
"135","TRNY"
"136","PON2"
"137","TSPAN1"
"138","GSTA1"
"139","NUPR1"
"140","RPS11"
"141","TCP11X2"
"142","GCNT3"
"143","ZNF14"
"144","PMAIP1"
"145","ZNF573"
"146","SCG5"
"147","VMP1"
"148","SEC11C"
"149","SRSF6"
"150","HSP90AB1"
"151","LEPR"
"152","CFB"
"153","CASP4"
"154","RPS28P7"
"155","RPLP1"
"156","ZNF143"
"157","TMEM70"
"158","ZNF175"
"159","NUDT6"
"160","TRNQ"
"161","CCDC181"
"162","HRSP12"
"163","FAM219B"
"164","H3F3B"
"165","GC"
"166","TRNA"
"167","CRYBA2"
"168","PCP4"
"169","ENO1"
"170","MT1F"
