"","x"
"1","GC"
"2","TM4SF4"
"3","HADH"
"4","FAP"
"5","IAPP"
"6","GLS"
"7","ADCYAP1"
"8","PCSK1"
"9","TMEM176B"
"10","NPTX2"
"11","PFKFB2"
"12","INS"
"13","DLK1"
"14","TIMP2"
"15","FXYD5"
"16","RBP4"
"17","UCHL1"
"18","ABCC8"
"19","CRYBA2"
"20","SERPINA1"
"21","MAP1B"
"22","C19orf77"
"23","BMP5"
"24","TBC1D24"
"25","CADM1"
"26","SYT13"
"27","GPX3"
"28","SLC38A4"
"29","GSN"
"30","LOXL4"
"31","SCD5"
"32","APOL2"
"33","DHRS7"
"34","INS-IGF2"
"35","RGS4"
"36","PCSK2"
"37","FAM159B"
"38","GCG"
"39","MEIS2"
"40","CDKN1C"
"41","SORL1"
"42","TMEM176A"
"43","FABP5"
"44","LDHA"
"45","SOX4"
"46","HLA-A"
"47","FXYD6-FXYD2"
"48","ELL2"
"49","CNP"
"50","PRSS23"
"51","RGS16"
"52","TSPAN1"
"53","G6PC2"
"54","TTC39C"
"55","ANO5"
"56","ABRACL"
"57","CLU"
"58","PDK4"
"59","ERO1LB"
"60","LEPR"
"61","CD99"
"62","CD9"
"63","SST"
"64","PRG4"
"65","SLC38A1"
"66","CPB1"
"67","ALDH1A1"
"68","RIN2"
"69","RGS2"
"70","DHRS2"
"71","SCG2"
"72","PEMT"
"73","NAA20"
"74","MS4A8"
"75","KRT19"
"76","SCGB2A1"
"77","SLC30A8"
"78","PLAC8"
"79","HNRNPUL2"
"80","SLC17A6"
"81","SSTR1"
"82","CTTNBP2NL"
"83","SEMA3E"
"84","AKAP12"
"85","IER2"
"86","DFNB31"
"87","C1orf173"
"88","PHACTR1"
"89","PLEKHB1"
"90","PARM1"
"91","NEK11"
"92","DPY19L3"
"93","PAPSS2"
"94","LRCH2"
"95","RBM12B"
"96","DAPL1"
"97","VMP1"
"98","DIRAS3"
"99","ST3GAL1"
"100","KRT18"
"101","PPY"
"102","AQP3"
"103","SLITRK6"
"104","ETV1"
"105","SPOCK1"
"106","TNFRSF11B"
"107","PXK"
"108","EEF1A1P11"
"109","RPL3P4"
"110","ID4"
"111","ID2"
"112","EHF"
"113","TUBB2A"
"114","APOBEC2"
"115","ID1"
"116","HIGD1A"
"117","MTND4P24"
"118","PEG10"
"119","BPHL"
"120","JUN"
"121","SLC6A4"
"122","TFPI"
"123","LOC100128906"
"124","EEF1A1P6"
"125","GCNT3"
"126","EGR3"
"127","SAMD5"
"128","TSPAN8"
"129","SERTM1"
"130","PCDH10"
"131","ABCC9"
"132","PCSK1N"
"133","TMEM47"
"134","HGD"
"135","INPP5F"
"136","FGFR1"
"137","STMN2"
"138","ITM2C"
"139","S100A10"
"140","CAPZA1"
