"","x"
"1","ADCY2"
"2","DPP4"
"3","EPHA4"
"4","ERBB3"
"5","MECOM"
"6","FAP"
"7","GCNT2"
"8","GLI3"
"9","IGFBP2"
"10","LIPC"
"11","SLC14A1"
"12","SPINK1"
"13","TMPRSS2"
"14","STC2"
"15","RNF144A"
"16","PTPRT"
"17","BVES"
"18","KCNIP1"
"19","PLCE1"
"20","FIGN"
"21","STK32B"
"22","ARNTL2"
"23","POPDC3"
"24","SYNDIG1"
"25","BAIAP2L2"
"26","SPHKAP"
"27","LOXL4"
"28","FRMPD3"
"29","PYROXD2"
"30","SYTL5"
"31","VSTM2L"
"32","CD109"
"33","ZNF98"
"34","BVES-AS1"
"35","ARHGAP42P3"
"36","LOC283194"
"37","C3orf80"
"38","LOC401164"
"39","LOC646358"
"40","TMEM236"
"41","LOC100128276"
"42","GATA6-AS1"
"43","UNQ6494"
"44","LOC100130459"
"45","LINC00871"
"46","LOC101927014"
"47","LOC101927592"
"48","LOC101928646"
"49","LOC101928799"
"50","LOC101929532"
"51","ADRA2A"
"52","ALOX5"
"53","ARL4D"
"54","CCND1"
"55","CALD1"
"56","CAPS"
"57","ENTPD3"
"58","CDH6"
"59","DCX"
"60","DUSP7"
"61","EMP3"
"62","ESR1"
"63","GLRA1"
"64","GPM6A"
"65","HADH"
"66","HPCA"
"67","IAPP"
"68","IGF2"
"69","IGFBP5"
"70","IGSF1"
"71","IL6STP1"
"72","INS"
"73","KCNJ16"
"74","MAPT"
"75","MSN"
"76","NEFM"
"77","NPTX2"
"78","PFKFB2"
"79","PRKCA"
"80","RASGRF2"
"81","RGS16"
"82","RNASEL"
"83","ATXN8OS"
"84","SCN1B"
"85","SDC4"
"86","ST6GAL1"
"87","SIX3"
"88","SLIT1"
"89","SNAPC1"
"90","SPP1"
"91","SST"
"92","TEC"
"93","TGFBR3"
"94","THBD"
"95","TIMP2"
"96","TNS1"
"97","FZD4"
"98","DLK1"
"99","NTN1"
"100","SPAG6"
"101","KRT19"
"102","SMAD3"
"103","DDR2"
"104","PVT1"
"105","SLC38A1"
"106","RSAD2"
"107","ARHGAP18"
"108","CCDC173"
"109","EIF2S2P3"
"110","FAM86B3P"
"111","RPL5P3"
"112","FAM86DP"
"113","ARPC3P3"
"114","LOC100507205"
"115","LOC101927571"
"116","LOC101928376"
"117","LOC101928591"
"118","LOC101928900"
"119","SULT1C2P1"
"120","NOP9"
"121","LOC441461"
"122","LOC286190"
"123","NALCN-AS1"
"124","LINC00937"
"125","AP4B1-AS1"
"126","LDLRAD4"
"127","PHACTR1"
"128","LOC643373"
"129","MESDC1"
"130","REG1A"
"131","ZNF835"
"132","MTX1P1"
"133","PTOV1-AS1"
"134","AATK-AS1"
"135","LOC101928964"
"136","RGS2"
"137","LOC439994"
"138","LIG4"
"139","MSRA"
"140","ANO6"
"141","SIM1"
"142","RBM38"
"143","C1orf173"
"144","TPI1P3"
"145","SLC17A6"
"146","PCGF1"
"147","LRCH2"
"148","ZFYVE27"
"149","LOC101928094"
"150","VPS51"
"151","TNFRSF11B"
"152","ABCB4"
"153","PMAIP1"
"154","PPY"
"155","TSPAN8"
"156","PABPC1P3"
"157","NOC4L"
"158","DHRS11"
"159","CCDC8"
"160","SLITRK6"
"161","NOSTRIN"
"162","ZNF827"
"163","LINC00469"
"164","FGF7P1"
"165","RPL7AP30"
"166","DND1P2"
"167","RPL14P3"
"168","LOC100421438"
"169","MTRNR2L6"
"170","C1QTNF3-AMACR"
"171","LOC101927209"
"172","LOC101927481"
"173","LOC101928142"
"174","LOC101929680"
"175","LOC389332"
"176","ILDR2"
"177","LOC286467"
"178","SPON2"
"179","OSTM1-AS1"
"180","RAPGEF4"
"181","CDK8"
"182","IRF2BP1"
"183","FOXA3"
"184","SLC4A4"
"185","LOC100996485"
"186","BMF"
"187","SPOCK1"
"188","ACTG1P10"
"189","PCDH10"
"190","GTF2IRD2B"
"191","WWC2"
"192","IQCE"
"193","AK4"
"194","NTRK2"
"195","EMC8"
"196","EHF"
"197","ID2"
"198","NFATC2"
