"","x"
"1","SST"
"2","PPY"
"3","NPY"
"4","IAPP"
"5","RBP4"
"6","SPP1"
"7","SPINK1"
"8","SNAR-B2"
"9","SNAR-B1"
"10","MTND1P23"
"11","MT2A"
"12","RN7SK"
"13","CXCL1"
"14","MT1X"
"15","RN7SL2"
"16","DLK1"
"17","RGS2"
"18","TRNV"
"19","SHISA2"
"20","CXCL2"
"21","MT1G"
"22","IL8"
"23","HILPDA"
"24","CPB1"
"25","LOC100419583"
"26","ARF4P5"
"27","TSPAN8"
"28","GBP1P1"
"29","AQP3"
"30","ID2"
"31","PPIAP18"
"32","EIF3LP3"
"33","NUPR1"
"34","FABP5"
"35","BCYRN1P1"
"36","ZNF165"
"37","SMARCE1P6"
"38","GLUD2"
"39","DHRS3"
"40","CASP4"
"41","LOC100130388"
"42","FTH1"
"43","CNOT6LP1"
"44","LOC284454"
"45","LOC101928762"
"46","S100A6"
"47","PON1"
"48","LINC00483"
"49","ZNF404"
"50","IGFBP3"
"51","TNFRSF11B"
"52","ZNF77"
"53","LOC101927841"
"54","RPL6P13"
"55","STK17B"
"56","B3GALT2"
"57","TAF9P3"
"58","RPL12P41"
"59","SLITRK6"
"60","GPX2"
"61","GCNT3"
"62","EIF3EP1"
"63","LOC101926969"
"64","REG1A"
"65","NSUN3"
"66","PTP4A2P1"
"67","HARBI1"
"68","ZNF175"
"69","BMP1"
"70","LOC100287896"
"71","LMOD3"
"72","GPR19"
"73","IFITM2"
"74","TRNP"
"75","LOC100129085"
"76","ZNF30"
"77","NASPP1"
"78","TMC5"
"79","LINC00622"
"80","SERPINA1"
"81","PIGCP1"
"82","ZNF888"
"83","SAT1"
"84","LOC101928577"
"85","RN7SL1"
"86","LOC100131471"
"87","PPP2R5D"
"88","RPS4XP16"
"89","ZNF222"
"90","ZNF223"
"91","COL3A1"
"92","CDKN1C"
"93","DDIT3"
"94","FTL"
"95","RPS18P9"
"96","LOC101928701"
"97","GMDS"
"98","INS"
"99","OGG1"
"100","HSP90AA5P"
"101","MGAT4C"
"102","C9orf135"
"103","SUDS3P1"
"104","ZNF596"
"105","SOD2"
"106","RSAD2"
"107","LOC101929223"
"108","GSTA1"
"109","DNASE1L1"
"110","ZSCAN9"
"111","HSPA1L"
"112","CFB"
"113","TSPAN1"
"114","IFITM3"
"115","ERCC8"
"116","LOC100129055"
"117","ZNF14"
"118","LOC101559451"
"119","KCNMB3"
"120","PRG4"
"121","ZNF350"
"122","ZFP37"
"123","ADM"
"124","NEURL3"
"125","TCEAL7"
"126","IL32"
"127","CCNA2"
"128","ARL4D"
"129","RPL23AP47"
"130","PTENP1"
"131","PDK4"
"132","LOC101927641"
"133","CELA3A"
"134","BORA"
"135","ZNF763"
"136","ADAM19"
"137","PMEPA1"
"138","EMP3"
"139","SRXN1"
"140","ALG1L"
"141","BCYRN1"
"142","PSAT1"
"143","NNMT"
"144","LOC728024"
"145","ST13P3"
"146","LOC255308"
"147","ABCB4"
"148","RPL26P6"
"149","ZNF844"
"150","CPA2"
"151","LOC101927941"
"152","LRRC34"
"153","TIMP3"
"154","USP6"
"155","LOC284009"
"156","FAM159B"
"157","SLC18A2"
"158","TCP11X1"
"159","MT1E"
"160","F8"
"161","FAM219B"
"162","FAM161B"
